index	syllables	pieces	method	preview
4	45	1	STAGE2_MANUAL	དང་པོ་ནི། ཨོཾ་སྟེ་ཕྱག་ཡུལ་སྐུ་གསུམ་གྱི་བདག་ཉིད་དེ་ནི་སྡོམ་གས
12	67	1	STAGE2_MANUAL	དང་པོ་ལ་དྲུག ཞལ་མདངས་གསལ་ཞིང་འོད་ཟེར་འཕྲོ་བའི་སྒོ་ནས་བསྟོད་པ
21	55	1	STAGE2_MANUAL	བཞི་པ་ནི། ཕྱག་འཚལ་ལོ་གང་ལ་ན་གསུང་ཏུཏྟཱ་ར་ཞེས་སོགས་ཀྱིས་སྔགས་
27	71	1	STAGE2_MANUAL	གཉིས་པ་ཁྲོ་མོའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་ལ་བདུན། བདུད་དང་སྒྲིབ
29	42	1	STAGE2_MANUAL	ཕྱག་འཚལ་ལོ་གང་ལ་ན་ཏུ་རེ་སྟེ་མྱུར་མ་འཇིགས་པ་ཆེན་མོ་སྟེ་ཤིན་ཏུ
32	43	1	STAGE2_MANUAL	མ་ལུས་ཕྱོགས་ཀྱི་ཆ་ཐམས་ཅད་ཕྱག་གཡས་པའི་མཆོག་སྦྱིན་གྱི་མཐིལ་འཁོ
33	41	1	STAGE2_MANUAL	གསུམ་པ་ནི། ཕྱག་འཚལ་ལོ་གང་ལ་ན་དད་པ་ཅན་ལ་རབ་ཏུ་དགའ་བ་བསྐྱེད་ཅི
43	64	1	STAGE2_MANUAL	ཁྲོ་གཉེར་ཅན་མཛད་དེའི་ཕྱག་ཞབས་སུ་གནས་པའི་ཡི་གེ་ཧཱུཾ་གིས་རྡོ་ར
45	57	1	STAGE2_MANUAL	ཕྱག་འཚལ་ལོ་གང་ལ་ན་འབྲས་བུ་སྡུག་བསྔལ་མེད་པས་བདེ་མ་དང་རྒྱུ་མི་
47	84	1	STAGE2_MANUAL	གསུམ་པ་འཕྲིན་ལས་ཀྱི་སྒོ་ནས་བསྟོད་པ་ལ་དྲུག ཞི་ཁྲོའི་སྔགས་ཀྱི་
50	81	1	STAGE2_MANUAL	དེ་ཡང་སྒྲོལ་མ་ཞི་བ་་ཐུགས་ཀར་ཏཱཾ་ཡིག་གི་མཐར་ཡི་གེ་བཅུ་པའི་ངག་
53	45	1	STAGE2_MANUAL	དེའི་ཞབས་བརྡབས་པས་ནི་རི་རབ་དང་རི་མནྡཱ་ར་དང་རི་ནག་པོ་འབིགས་བྱ
58	41	1	STAGE2_MANUAL	ལྔ་པ་ནི། ཕྱག་འཚལ་ལོ་གང་ལ་ན་ཉི་མ་རྒྱས་པ་ལྟ་བུའི་ཁྲོ་མོའི་སྤྱན
