index	syllables	pieces	method	preview
13	59	1	STAGE2_MANUAL	དེ་ཡང་ལྷའམ་རྒྱུད་ཀྱི་མཚན་དོན་གྱི་སྟེང་ནས་རང་ལམ་གྱི་གོ་བ་ཡོངས
16	78	1	STAGE2_MANUAL	གསུམ་པ་ནི།འགྲོ་རྣམས་ཞི་བའི་ལས་ལ་འགོད་པ་ནས་བཟུང་། མྱང་འདས་ལ་འ
18	78	1	STAGE2_MANUAL	དེ་ཡང་ལྷ་མོ་འདིའི་ངོ་བོ་ནི། ཕུང་བོ་ལྔ་དང་ཁམས་ལྔ་རྣམ་པར་དག་པའ
19	102	1	STAGE2_MANUAL	དེ་ཡང་གཞི་འཁོར་བའི་གནས་སྐབས་སུ་སེམས་རླུང་གི་རྟ་ལ་ཞོན་ནས་འདུ་
20	51	1	STAGE2_MANUAL	འོན་ཀྱང་གདུལ་བྱའི་བློ་དང་འཚམ་པར་གང་ཟག་གཅིག་གིས་ཐོག་མར་ཐུགས་བ
21	80	1	STAGE2_MANUAL	གཉིས་པ་རྒྱུད་ཀྱི་ཚིག་དོན་བྱེ་བྲག་ཏུ་བཤད་པ་ལ། རྒྱུད་གང་དུ་གཏོ
22	51	1	STAGE2_MANUAL	འདི་དང་གྲུབ་ཆེན་རྣམ་རྒྱལ་ཞབས་གཉིས་ཀྱིས་བླ་མེད་ལུགས་དང་། ཇོ་བ
23	69	1	STAGE2_MANUAL	།འདི་ལ་ཚིག་འགྲེལ་རྒྱ་གར་མ་མ་མཐོང་ལ་བོད་ཀྱི་འགྲེལ་བ་གསུམ་ཙམ་མ
39	45	1	STAGE2_MANUAL	སྦྱིན་པ་དང་། བརྩོན་འགྲུས་དང་།དཀའ་ཐུབ་ཞི་བ་སྟེ་ཚུལ་ཁྲིམས་དང་།
43	56	1	STAGE2_MANUAL	འདིར་ཕྱིན་དྲུག་གི་གོ་རིམ་ཡོངས་གྲགས་དང་ཅུང་ཟད་མི་མཐུན་ཀྱང་། ས
44	62	1	STAGE2_MANUAL	ཕྱག་འཚལ་སེར་སྔོ་ཞེས་པ་ལ་ཡང་སེར་ལ་ཀ་སྔོན་འཇུག་ཡོད་མེད་ཀྱིས་འག
46	43	1	STAGE2_MANUAL	གང་ལ་ཕྱག་འཚལ་བའི་ཡུལ་རྒྱལ་བ་ཐམས་ཅད་བསྐྱེད་པའི་ངེས་དོན་གྱི་ཡུ
49	54	1	STAGE2_MANUAL	འདི་ནི་དུས་གསུམ་འཕགས་པ་ཞེས་གསོ་བྱ་གསོ་བྱེད་དང་བསྐྱེད་བྱ་སྐྱེ
51	45	1	STAGE2_MANUAL	ཕྱག་འཚལ་བའི་ཡུལ་ཏུཏྟཱ་རེ་ཧཱུཾ་ཞེས་པའི་རིག་སྔགས་ཀྱི་སྒྲ་དང་ཡི
62	76	1	STAGE2_MANUAL	འགྲེལ་བ་ཐམས་ཅད་དུ་ཕྱོགས་སྐྱོང་ལ་མ་སྦྱར་འདུག་ཀྱང་། རྒྱུད་རང་ག
63	66	1	STAGE2_MANUAL	འདིར་རང་མིང་ནས་སྨོས་པ་རྣམས་སོར་བཞག ནུབ་ཀྱི་ཆུ་ལྷས་དབང་སྡུད་ཀ
64	95	1	STAGE2_MANUAL	དཀྱིལ་འཁོར་གྱི་མཐའི་དུར་ཁྲོད་ཀྱི་ཞིང་སྐྱོང་རྣམས་ཕྱོགས་སྐྱོང་
68	73	1	STAGE2_MANUAL	གྲུབ་ཆེན་གྱིས་འདིའི་ལས་ཚོགས་ལ་འཕོ་བ་སྦྱར་འདུག་པ་ཊད་ཅེས་བྱ་བ་
76	86	1	STAGE2_MANUAL	རྫོགས་རིམ་རྒྱས་པ་ཞིག་འདི་ལ་སྦྱར་འདུག་པས། ནང་གི་འཇིགས་ཆེན་བརྒ
84	83	1	STAGE2_MANUAL	ལྟར་ཕྱག་གི་ཨུཏྤལ་གྱིས་དུས་གསུམ་སངས་རྒྱས་མཚོན་པ་དང་ཕྱག་རྒྱའི་
93	49	1	STAGE2_MANUAL	ཟག་མེད་ཀྱི་ཏིང་ངེ་འཛིན་དམ་པའི་དགའ་བ་བཞིའི་དབང་གི་མཐར་ཐུགས་ལྷ
94	49	1	STAGE2_MANUAL	རྒྱལ་བ་རིགས་ལྔའི་རང་བཞིན་གྱི་དབུ་རྒྱན་འོད་ཟེར་འབར་བར་གསུངས་པ
98	46	1	STAGE2_MANUAL	འདིར་ས་གཞི་སྐྱོང་བ་ཞེས་པ་གཟའ་བརྒྱད་ལ་སྦྱར་དགོས་ཏེ། གྲུབ་ཆེན་
99	60	1	STAGE2_MANUAL	གཟའ་བརྒྱད་ལ་ས་གཞི་སྐྱོང་བ་ཞེས་པའི་རྒྱུ་མཚན་ཡོད་དེ། ཉི་ཟླ་གཉི
100	45	1	STAGE2_MANUAL	ས་ལ་གནས་པའི་མིའི་ནང་གི་རྩ་ཐིག་རླུང་གསུམ་གྱི་རྟེན་འབྲེལ་གྱིས་
104	80	1	STAGE2_MANUAL	གྲུབ་ཆེན་གྱིས་འདིའི་ཐད་དུ་སྦྱིན་སྲེག་གསུངས་པའི་ངེས་དོན་རྫོགས
113	48	1	STAGE2_MANUAL	གཡས་བརྐྱངས་ཤིང་གཡོན་བསྐུམས་ནས་བཞུགས་པའི་སྐུ་ལས་སྤྲོས་པའི་མེ་
117	94	1	STAGE2_MANUAL	གྲུབ་ཆེན་གྱི་གཞུང་དུ། རིམ་པ་བདུན་པོ་རྣམས་ནི་འགེངས་མ་ཞེས་དྲངས
133	49	1	STAGE2_MANUAL	ཕྱག་འཚལ་བའི་ཡུལ་ཡིད་གཞུངས་མ་དང་། དྲན་པ་མ་དང་། ཤེས་རབ་མ་དང་། 
136	61	1	STAGE2_MANUAL	, ཕྱག་འཚལ་བའི་ཡུལ་ཏུ་རེ་སྒྲོལ་མ་མྱུར་མའི་ཞབས་ཀྱིས་བརྡབ་པ་དང་
154	48	1	STAGE2_MANUAL	ཕྱག་འཚལ་བའི་ཡུལ་ཉི་མ་དང་ཟླ་བའི་འོད་ལྟར་རྒྱས་པའི་ཡེ་ཤེས་ཀྱི་ས
156	69	1	STAGE2_MANUAL	འདི་ལ་ཇོ་བོས་རིམས་ནད་སེལ་བའི་ལས་ཚོགས་སྦྱར་བ་ནི་ཚིག་ཕྱི་མ་གཉི
158	50	1	STAGE2_MANUAL	ཕྱག་འཚལ་བའི་ཡུལ་སྐུ་གསུང་ཐུགས་ཀྱི་དེ་ཉིད་གསུམ་སྟེ་ཨོཾ་ཨཱཿ ཧཱ
