index	kind	syllables	preview
1	prose	8	ན་མོ་གུ་རུ་ཨཱརྻ་ཏཱ་ར་ཡཻ།
2	prose	19	ཕྱག་འཚལ་ཉེར་གཅིག་ལ་བསྟོད་པ་དངོས་དང་། ཕན་ཡོན་ནོ། །དང་པོ་ལ་ཉེར་གཅིག་ཡོད་པ་ལས།
3	prose	35	དང་པོ་ནི། ཕྱག་འཚལ། གང་ལ་ན། སྒྲོལ་མ་ལའོ། །དེ་ལ་ཡོན་ཏན་ནམ་ཁྱད་པར་ཅི་ཡོད་ཅེ་ན། སེམས
4	prose	16	སྤྱན་གྱི་འོད་ནི་སྐད་ཅིག་གིས་གློག་འཁྱུག་པ་དང་འདྲ་བས་སྒྲོལ་མ་
5	prose	40	དེ་ནི་ས་འོག་ས་སྟེང་ས་བླའི་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་ཆུ་སྐྱེས་
6	prose	31	གཉིས་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། སྟོན་ཀའི་ཟླ་བ་ཉ་ཀུན་ཏུ་གང་བ་བརྒྱ་ཐམ་པ་ནི་རྣམས་པ་བརྩེ
7	prose	27	སྐར་མའི་ཚོགས་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས་འགྲན་དུ་མེད་ཅིང་རབ་ཏུ་ཕྱེ་བའི་འོད་དཀར་པོ་
8	prose	32	གསུམ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། གསེར་ལྟར་མཛེས་ཤིང་ཅུང་ཟད་སྔོ་བའི་མདོག་ཅན་ཆུ་ནི་སྐྱེ་
9	prose	27	དེ་ཡང་སྦྱིན་པ་དང་། བརྩོན་འགྲུས་དང་། དཀའ་ཐུབ་སྟེ་ཚུལ་ཁྲིམས་དེས་ཉོན་མོངས་པ་ཞི་བར་བ
10	prose	3	བཞི་པ་ནི།
11	prose	17	ཕྱག་འཚལ། གང་ལ་ན། དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར་ལྟར་མཆོད་པའི་གནས་སུ་གྱུར་ཅིང་།
12	prose	16	བདུད་སོགས་ཕས་རྒོལ་མཐའ་ཡས་པ་ལས་རྣམ་པར་རྒྱལ་བ་སྤྱོད་པའི་སྒྲོལ་མ།
13	prose	49	ཕར་ཕྱིན་བཅུ་དང་ས་བཅུ་མ་ལུས་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་གོ་འཕང་ཐོབ་པའི་བདག་ཉིད་དེ་ལ་རྒྱ
