index	syllables	pieces	method	preview
1	41	1	STAGE2_MANUAL	༄༅།།རྗེ་བཙུན་སྒྲོལ་མའི་བསྟོད་པ་ཉི་ཤུ་རྩ་གཅིག་གི་ཚིག་དོན་རྣམ་
2	443	1	STAGE2_MANUAL	༄༅།། རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མའི་རྩ་བའི་རྒྱུད་ཀྱི་བསྟོད་པ་ཉི་ཤ
4	350	1	STAGE2_MANUAL	རྒྱལ་བ་དགོངས་བརྒྱུད་རིག་འཛིན་བརྡའ་བརྒྱུད་དང་། གང་ཟག་སྙན་ཁུངས
6	407	1	STAGE2_MANUAL	སྐབས་འདིར་གསང་སྔགས་རྡོ་རྗེ་ཐེག་སྤྱི་དང་། ཁྱད་པར་གསང་སྔགས་ནང་
8	211	1	STAGE2_MANUAL	སྐབས་སུ་བབས་པ་ནི། ཆོས་རྒྱལ་ཚངས་པ་ལྷའི་མེ་ཏོག་གི་ཡེ་ཤེས་ཀྱི་ར
11	43	1	STAGE2_MANUAL	རྒྱ་གར་སྐད༵་དུ། ཨརྻ་ཏཱ་རཱེ་མནྟྲ་མཱུ་ལ་སྟོཏྟཱ་ནཱ་མ་སྐཻ་རི་ཀ་བ
15	55	1	STAGE2_MANUAL	ཨཱོྃ་ནི་ཡེ་ཤེས་ལྔ་དང་སྐུ་ལྔ་མཚོན་ཏེ། ཨ་ཆོས་དབྱིངས་ཡེ་ཤེས་དང་
20	105	1	STAGE2_MANUAL	དེ་བསྡུས་ན་ཀུན་མཁྱེན་རོང་ཟོམ་པས། ཨཱོྃ་ནི་ཨ་ཨུ་མ་གསུམ་ནི་རྡོ་
25	106	1	STAGE2_MANUAL	དང་པོ། ཚིག་གི་དོན་ནི། ཕྱག་འཚལ་ལོ། ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། གནས་སྐ
26	46	1	STAGE2_MANUAL	རྣམ་པ་ཐམས་ཅད་མཁྱེན་པའི་ཡེ་ཤེས་ཀྱི་སྤྱན་མཆོག་ནི་སྐད་ཅིག་གཅིག་
