index	syllables	pieces	method	preview
2	41	1	STAGE2_MANUAL	དང་པོ་ནི། རྒྱ་གར་སྐད་དུ། ན་མཿ ཏཱརཱ་ཨེ་ཀ་བིཾ་ཤ་ཏི་སྟོ་ཏྲ་གུ་ཎ
13	67	1	STAGE2_MANUAL	དང་པོ་སྒྲོལ་མ་ཞེས་པའི་མཚན་གྱི་ཆེ་བ་ནི། ལྷ་མོ་འདིས་སེམས་ཅན་དཔ
19	92	1	STAGE2_MANUAL	གཉིས་པ་མྱུར་མ་སྟེ་འཕྲིན་ལས་མྱུར་བའི་ཆེ་བ་ནི། ལྷ་མོ་འདིས་བསྟན
20	85	1	STAGE2_MANUAL	གསུམ་པ་དཔའ་མོ་སྟེ་སྙིང་སྟོབས་རྒྱས་པའི་ཆེ་བ་ནི། ཐོག་མར་སེམས་ཅ
21	83	1	STAGE2_MANUAL	ཇོ་ནང་པས་འདིའི་ལོ་རྒྱུས་འཆད་པ་ན། དེའི་ཚེ་དགེ་སློང་རྣམས་ཀྱིས་
24	67	1	STAGE2_MANUAL	འོ་ན་ལྷ་མོ་འདི་ལ་དེ་ལྟ་བུའི་སྒྲོལ་མྱུར་དཔའ་གསུམ་གྱི་ཡོན་ཏན་ལ
26	57	1	STAGE2_MANUAL	ཆུ་སྐྱེས་ཀྱི་ཞལ་གྱི་གེ་སར་བྱེ་བའམ་སྨིན་པ་ལས་ནི་ལྷ་མོ་འདི་བྱུ
28	57	1	STAGE2_MANUAL	མདོར་ན་སྲིད་ཞིའི་རྒུད་པ་རང་གིས་ཇི་བཞིན་གཟིགས་ནས་དེ་ལས་སྒྲོལ་
29	54	1	STAGE2_MANUAL	- དེ་དག་ཀྱང་རིམ་བཞིན་སྒྲོལ་མ། མྱུར་མ། དཔའ་མོ་ཞེས་གསུངས་པའི་ད
30	100	1	STAGE2_MANUAL	, སྐབས་འདིའི་འཇིག་རྟེན་གསུམ་མགོན་ནི་སྤྱན་རས་གཟིགས་ཀྱི་མངོན་བ
31	43	1	STAGE2_MANUAL	སྐུ་མདོག་སོགས་ཉི་སྦས་ཀྱི་སྒྲུབ་ཐབས་ཀྱིས་ཁ་བསྐངས་ཏེ་འཆད་ན། ནམ
48	93	1	STAGE2_MANUAL	དད་ཅིང་ཕྱག་འཚལ་བའི་རྒྱུ་ཅི་ཞིག་མཐོང་ཞེ་ན། དཔེར་ན། སྟོན་གྱི་ད
49	80	1	STAGE2_MANUAL	འདིའི་སྐབས་སུ་འགྲེལ་མཛད་མཁན་དག་ནི། ལྷ་མོའི་ཞལ་ཟླ་བ་ལྟར་གསལ་བ
53	75	1	STAGE2_MANUAL	འདིའི་མཚན་ལ་རྗེ་དགེ་འདུན་གྲུབ་ཀྱིས་སྒྲོལ་མ་དཀར་མོ་མདངས་ལྡན་མ
80	65	1	STAGE2_MANUAL	ཐོག་མར་སྦྱིན་པ་དང་། བརྩོན་འགྲུས་དང་། ཚུལ་ཁྲིམས་ཀྱི་མི་མཐུན་ཕ
81	73	1	STAGE2_MANUAL	ད་ལྟར་དེ་དག་མཐར་ཕྱིན་ཏེ་ཤེས་བྱ་ལ་བློ་གྲོས་ཡོངས་སུ་རྒྱས་པའི་ར
82	62	1	STAGE2_MANUAL	བསྟོད་ཚིག་ཏུ། བཀའ་ཐུབ་ཅེས་གསུངས་པ་ནི་ཚུལ་ཁྲིམས་ཀྱིས་ཉོན་མོངས
105	60	1	STAGE2_MANUAL	དེ་ཡང་སྐྱོན་བཅས་ཀྱི་ཚུལ་ལས་ལྡོག་སྟེ་ཉོན་མོངས་པ་དང་ཤེས་བྱའི་ས
106	60	1	STAGE2_MANUAL	ཕ་རོལ་ཏུ་ཕྱིན་པ་བཅུ་ལས་གཅིག་ཀྱང་མ་ལུས་པ་ཐམས་ཅད་ལ་ཉམས་ལེན་ལྷག
107	68	1	STAGE2_MANUAL	ཇོ་ནང་པས་དེ་བཞིན་གཤེགས་པ་རྣམ་པ་སྣང་མཛད་ཀྱི་དབུའི་གཙུག་ཏོར་ལས
121	58	1	STAGE2_MANUAL	རྒྱུ་གང་གིས་ཕྱག་འཚལ་ཞེ་ན། ཐུགས་དམིགས་པ་མེད་པའི་སྙིང་རྗེས་བརླ
122	49	1	STAGE2_MANUAL	, སྐུ་ཞབས་གཉིས་ཀྱིས་འཇིག་རྟེན་གསུམ་པོ་ལྕིད་ཀྱིས་མནན་ཞིང་གཅིག
123	108	1	STAGE2_MANUAL	བོད་དུ་དར་བའི་སྒྲོལ་མའི་དཔར་མ་རྣམས་སུ་འཇིག་རྟེན་བདུན་ཞེས་བྱུ
130	56	1	STAGE2_MANUAL	ཕྱི་མ་འདི་ཉིད་འཐད་ཆེ་བར་སྣང་སྟེ། སྒྲོལ་མ་ཉེར་གཅིག་གི་བསྟོད་པ
143	101	1	STAGE2_MANUAL	རྒྱུ་ཅིས་ཕྱག་འཚལ་ཞེ་ན། ལྷའི་དབང་པོ་བརྒྱ་སྦྱིན་དང་། ཕྱོགས་སྐྱ
