index	syllables	pieces	method	preview
3	77	1	STAGE2_MANUAL	་སལ་༼སྤངས་མཛོད། སྒྲོལ་མ་ཉེར་གཅིག་གི་མཚན། མྱུར་མ་དཔའ་མ། ཁྲོ་བ
12	208	1	STAGE2_MANUAL	༄།།བཀའ་བརྒྱུད་ཀྱི་གདན་ས་ཆེན་མོ་དཔལ་སྤུངས་ཤེས་རབ་གླིང་གི་མཁན་
15	134	1	STAGE2_MANUAL	༄༅།།བསྟན་དང་འགྲོ་བར་སྨན་པའི་ལྷག་བསམ་གཅིག་ཏུ་དཀར་ཞིང་དམ་པའི་ཚ
18	256	1	STAGE2_MANUAL	༄༅ །རིས་མེད་རྒྱལ་བསྟན་གྱི་གཞོན་འཛམ་གླིང་གོ་ལ་ཟླུམ་པོའི་ཁྱོན་
19	249	1	STAGE2_MANUAL	བསུབ་ཀྱིས་མ་གོས་པར་མ་དཔེ་ཇི་བཞིན་སོར་བཞག་ཐོག་()གློག་ཀླད་ཀྱི་
20	112	1	STAGE2_MANUAL	དཀར་ཆག རྗེ་བཙུན་འཕགས་མ་སྒྲོལ་མ་ལ་བསྟོད་པ་འདོད་འབྱུང་..རྣམ་པར
53	61	1	STAGE2_MANUAL	འབྲལ་མེད་རྗེས་སུ་འཛིན་པའི་རྒྱུར་གྱུར་ཅིག །ཅེས་རྒྱལ་ཡུམ་འཕགས་
60	157	1	STAGE2_MANUAL	དང་པོ་ནི། དེ་ཡང་ཐོག་མར་ལོ་རྒྱུས་དང་གླེང་གཞི་བཤད་པར་བྱ་སྟེ། ས
63	137	1	STAGE2_MANUAL	ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། པ་འདི་ནི་ཡ་མ་བརླ།།འཇི
64	138	1	STAGE2_MANUAL	དེ་ལྟ་བུའི་ཏིང་ངེ་འཛིན་བསྒྲུབས་པ་དེ་ཡི་ནུས་པས། དེ་ནས་ཉིན་རེ་
65	42	1	STAGE2_MANUAL	སླར་ཡང་སངས་རྒྱས་དོན་ཡོད་གྲུབ་པའི་དྲུང་དུ སེམས་ཅན་རྣམས་ལ་ཉེ་བ
69	43	1	STAGE2_MANUAL	གཉིས་པ་བསྟོད་པ་དངོས་ཀྱི་འགྲེལ་བ་ནི། ཨོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒ
70	144	1	STAGE2_MANUAL	གཞན་ཡང་སངས་རྒྱས་ཐམས་ཅད་ཀྱི་སྐུ་གསུང་ཐུགས་དང་སྐུ་གསུམ་ཡང་མཚོན
76	83	1	STAGE2_MANUAL	སྒྲོལ་མ་ནི་དུས་གསུམ་སངས་རྒྱས་ཐམས་ཅད་ཀྱི་ཕྲིན་ལས་ཀྱི་རང་གཟུགས
77	74	1	STAGE2_MANUAL	སྒྲོལ་མ་དེ་ཡང་གང་ལས་བྱུང་ན། འདོད་ཁམས་དང་། གཟུགས་ཁམས། གཟུགས་མ
79	44	1	STAGE2_MANUAL	ཞེས་གང་ལ་ཕྱག་འཚལ་ན། སྤྲིན་དང་རྡུལ་ཁུག་སྣ་སོགས་ཀྱིས་དག་པའི་དཀ
80	65	1	STAGE2_MANUAL	སྒྲོལ་མའི་བསྟོད་འགྲེལ་འཕགས་མའི་བྱིན་རླབས་འགུགས་པའི་ལྕགས་ཀྱུ།
82	105	1	STAGE2_MANUAL	ཞེས་གང་ལ་ཕྱག་འཚལ་ན། སེར་སྔོ་ནི་སྐུ་མདོག་སྟེ་སེར་པོ་དང་སྔོན་པ
