index	kind	syllables	preview
1	prose	1	.
2	prose	730	༄༅། །སྒྲོལ་མ་ཕྱག་འཚལ་ཉེར་གཅིག་གི་ཊཱིཀྐ་རིན་པོ་ཆེའི་ཕྲེང་བ་བཞུགས་སོ། །༄༅༅། །འཕགས་
3	prose	210	གཉིས་པ་ལ། ལོངས་སྐུའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་དང་། ཆོས་སྐུའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་
4	prose	139	གཉིས་པ་སྐུ་མདོག་དང་། ཕྱག་མཚན་དང་། རྒྱུའི་སྒོ་ནས་བསྟོད་པ་ནི། . ཕྱག་འཚལ་སེར་སྔོ་ཆུ
5	prose	118	གསུམ་པ། རྒྱལ་བ་དང་། རྒྱལ་སྲས་ཀྱིས་གུས་པས་བསྟེན་པའི་སྒོ་ནས་བསྟོད་པ་ནི། . ཕྱག་འཚལ་
6	prose	100	བཞི་པ་མི་མཐུན་ཕྱོགས་གནོན་པའི་སྒོ་ནས་བསྟོད་པ་ནི། . ཕྱག་འཚལ་ཏུཏྟཱ་ར་ཧཱུཾ་ཡི་གེས། །
7	prose	791	ལྔ་པ་འཇིག་རྟེན་པའི་ལྷ་ཆེན་པོ་རྣམས་ཀྱིས་བསྟོད་པ་ནི། . ཕྱག་འཚལ་ལོ། །གང་ལ་ན། ལྷ་དབང
8	prose	116	དྲུག་པ་དྲག་པོའི་བཞུགས་ཚུལ་གྱི་སྒོ་ནས་བསྟོད་པ་ནི། . ཕྱག་འཚལ་བསྐལ་པ་མཐའ་མའི་མེ་ལྟར
9	prose	618	བདུན་པའི་ཧཱུཾ་ཡིག་ལས་འོད་ཟེར་འཕྲོ་བའི་སྒོ་ནས་བསྟོད་པ་ནི། . ཕྱག་(གི་,)འཚལ་ས་གཞིའི
10	prose	221	བཞི་པ་རྩོད་པ་དང་རྨི་ལམ་ངན་པ་སེལ་བའི་འཕྲིན་ལས་ནི། . ཕྱག་འཚལ་ལྷ་ཡི་ཚོགས་རྒྱལ་པོ་དང
11	prose	201	དྲུག་པ་གདོན་དང་རོ་ལངས་འཇོམས་པའི་འཕྲིན་ལས་ནི། . ཕྱག་འཚལ་དེ་ཉིད་གསུམ་རྣམས་བཀོད་པའི
12	prose	276	བསྟོད་པ་དང་། ཁྱད་པར་སྲོད་ཀྱི་དུས་སུ་ཁྲོ་མོའི་ངང་། ཐོ་རངས་དུས་སུ་ཞི་བའི་སྐུ་སོགས་
13	prose	243	ཏོ། །གཞན་དོན་ནི། སེམས་ཅན་གཞན་པ་རྣམས་ལ་ཡང་ངོ་། །ཞེས་གཞན་གྱི་དོན་དུ་ཡང་གུས་པ་དང་ལྡ
14	prose	98	འཇོམས་པར་འགྱུར་ཅེས་གསུངས་སོ། །རིན་པོ་ཆེ་བུ་སྟོན་གྱིས་ནི། གཉིས་ཞེས་བྱ་བ་ཉིན་མཚན་ག
