index	kind	syllables	preview
1	prose	7	སལ་སྤུངས་། ཐེག་གསུམ་ཆོས་ཕྱིར་༣གོ།
2	prose	25	༄༅། །སྒྲོལ་འགྲེལ་ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས དེབ་ཕྲེང་ལྔ་པ མཁན་པོ་ཚུལ་
3	prose	77	་སལ་༼སྤངས་མཛོད། སྒྲོལ་མ་ཉེར་གཅིག་གི་མཚན། མྱུར་མ་དཔའ་མ། ཁྲོ་བ་དཀར་མ། གསེར་མདོག་ཅན
4	prose	9	དསལ་སྤྱངས་མཛེ། ཐེག་གསུམ་ཆོས་ཀྱི་འཁོར་ལོ་ཆེ།
5	prose	25	༄༅། །སྒྲོལ་འགྲེལ་ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། དེབ་ཕྲེང་ལྔ་པ མཁན་པོ་ཚུལ
6	prose	29	སྒྲོལ་མའི་འགྲེལ་པ་ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི་གྲུ་གཟིངས། དཔལ་སྤུངས་གསུང་རབ་སྤར་ས
7	prose	1	.. ,.. :()-/ : ()-/ .. @. ©.
8	prose	13	སལ་སྤངས་ལས་མཛ་་་སྲོལ་མ་ཉེར་གཅིག་ལ་ན་མོ།
9	prose	26	སྒྲོལ་མའི་འགྲེལ་པ་ཚོགས་གཉིས་རྒྱ་མཚོར་འཇུག་པའི དཔལ་སྤུངས་གསུང་རབ་སྤར་སྐྲུན་ཁང་ནས་
10	prose	1	.. ,.. :()-/ : ()-/ .. @. ©
11	prose	10	་སལ་སྤྱངས་མཛོད། སྒྲོལ་མ་ཉེར་གཅིག་ལ་ན་མོ།
12	prose	208	༄། །བཀའ་བརྒྱུད་ཀྱི་གདན་ས་ཆེན་མོ་དཔལ་སྤུངས་ཤེས་རབ་གླིང་གི་མཁན་པོ་ཚུལ་ཁྲིམས་རྣམ་དག
13	prose	13	ཀརྨ་པ་ཨོ་རྒྱན་ཕྲིན་ལས་རྡོ་རྗེས། ནང་ལོ་༢༥༤༢ཕྱི་ལོ་༢༠༠༨ཟླ ༣ཚེས་༢༧ཉིན།
14	prose	7	ན་ཏིང་ཏཱ་ཡི་སི་ཏུ་
15	prose	134	༄༅། །བསྟན་དང་འགྲོ་བར་སྨན་པའི་ལྷག་བསམ་གཅིག་ཏུ་དཀར་ཞིང་དམ་པའི་ཚུལ་དགུའི་དཔལ་གྱིས་ཕ
16	prose	1	..-,,, ..(),,
17	prose	5	དཔེ་སྐྲུན་སྔོན་འགྲོའི་མཆིད།
18	prose	256	༄༅ །རིས་མེད་རྒྱལ་བསྟན་གྱི་གཞོན་འཛམ་གླིང་གོ་ལ་ཟླུམ་པོའི་ཁྱོན་ཀུན་ཏུ་མངོན་པར་གསལ་ཞ
