index	kind	syllables	preview
1	prose	14	ཨོཾ་བདེ་ལེགས་སུ་གྱུརཅིག། ན་མོ་ཨཱརྱཏཱར་ཡེ། འགྲོ་ཀུན་སྲིད་མཚོ་ལས་སྒྲོལ་བའི། །
2	prose	13	རྗེ་བཙུན་མ་ལ་ཕྱག་འཚལ་ནས། དེ་ཉིད་བསྟོད་པའི་ཚིགས་སུ་བཅད། །
3	prose	7	ཉི་ཤུ་རྩ་གཅིག་དབྱེ་བར་བྱ།།
4	prose	46	འདིར་རྗེ་བཙུན་མ་སྒྲོལ་མ་ལ་བསྟོད་པ་ཕྱག་འཚལ་ཉི་ཤུ་ཙ་གཅིག་གི་དོན་ཅུང་ཟད་དཀྲོལ་ན། འད
5	prose	8	ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དབའ་མོ། །
6	prose	3	ཞེས་སོགས་ལ།
7	prose	59	ཕྱག་འཚལ་ལོ་ཞེས་དྲང་ངོ་།། གང་ལན། བཟོ་ཀུན་འཁོར་བ་ལས་སྒྲོལ་པའི་སྒྲོལ་མ་ལའོ། །དམན་ཏན
8	prose	20	སྤྱན་ནི་འོད་ཤིན་ཏུ་གསལ་བས་སྐད་ཅིག་གི་ཚིག་ལ་འཇུག་པ་དང་འདྲ་བའི་སྒྲོལ་མ་ལའོ། །
9	prose	52	དེ་གང་ལས་འཁུངས་ཞེ་ན། འཇིག་རྟེན་གསུམ་མགོན་སོགས་ཏེ། ས་འོག་ས་སྟེངས་ཐའི་འཇིག་རྟེན་གས
10	prose	3	གཉིས་པ་ནི།
11	prose	9	ཕྱག་འཚལ་སྟོན་ཀའི་ནླ་བཀུན་དུ། ཞེས་སོགས་ཏེ།
12	prose	30	ཕྱག་འཚལ། གངལ་ན། སྟོན་ཀའི་ཟླ་བ་ཉ་ཀུན་དུ་གང་བ་བརྒྱ་བཅུ་པ་ནི་བརྩེགས་པ་ལྟ་བུར་མཆོག་ཏ
13	prose	29	དེ་ལ་ཡང་སྐར་མ་སྟོང་གུས་པ་རྣམས་ཀྱིས་རབ་ཏུ་ཕྱེ་བ་སྟེ་བརྒྱན་པ་ལྟ་བུའི་འོད་དཀར་པོ་རབ
14	prose	35	གསུམ་པ་ནི། ཕྱག་ཚལ། གང་ལ་ནི། འཛམ་བུ་ཆུ་བོའི་གསེར་ལྟར་མཛེས་ཤིང་། ཅུང་ཟད་སྡེ་བའི་ཁ་
15	prose	83	དེ་འདྲ་བའི་སྒྲོལ་མ་དེ་ཡང་སྦྱིན་པའི་ཕར་ཕྱིན་དང་། དེ་བཞིན་དུ་བཅོན་འགྲུས་དང་། དཀའ་ཐ
16	prose	47	བཞི་པ་ནི། ཕྱགས་ཚལ། གང་ལ་ན། དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱིས་ཀྱང། གཙུག་ཏོར་ལྟར་མཆོད་པའ
17	prose	39	ས་བཅུ་མ་ལུས་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པ་ཐོབ་པས་རྒྱལ་བའི་སྲས་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་ཀྱི་
18	prose	72	ལྔ་པ་ནི། ཕྱག་འཚལ་ཏྟུདྡཱ་རེ་སོགས་ཏེ། ཕྱག་འཚལ། གང་ལ་ན། ཏུ་ཏྟཱརེཧཱུཾ་ཞེས་པའི་རིག་གས
19	prose	48	འཇིག་རྟེན་བདུན་པོ་ནི་འདོད་ཁམས་ཀྱི་འགྲོ་བ་རྒྱུད་ལྔ་། དེའི་སྟེང་དུ་ཁམས་གོང་མ་གཉིས་
20	prose	45	དྲུག་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། མེ་ལྷ་དང་། ཚངས་འདང་། རླུང
21	prose	53	ཚོགས་ཀྱི་བདག་པོ་ལ་སོགས་པའི་འབྱུང་པོ་རྣམས་དང་། དུང་ཁྲོད་ན་གནས་པའི་རོ་ལངས་རྣམས་དང་
22	prose	53	བདུན་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཞལ་ནས་རྗོད་ཏྲད་ཅེས་བྱ་བ་དང་བཅེས་བྱ་བ་ལ་སོགས་པའི་དྲག་
23	prose	35	གཡས་བསྐུམ་བས་ཤིང་གཡོན་བརྐྱང་བའི་ཞབས་ཀྱི་བཞུགས་སྟངས་ཀྱིས་འཇིག་བརྟེན་བདུན་པོ་མནན་ཏ
24	prose	27	བརྒྱད་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཏུ་རེ་ཞེས་སོགས་འཇིགས་བསེལ་བའི་གསུང་བསྒྲགས་བཙམ་གྱིས་
25	prose	20	བདུད་ཆེ་དཔའ་བོ་སྟེ་ལྷའི་བུའི་འདུད་ལ་སོགས་བདུད་བཞི་པོ་རྣམ་པར་འཛོམས་པའི་སྒྲོལ་མ་ལའ
26	prose	40	ཆུ་སྐྱེས་རྒྱས་པ་ལྟར་མཛེས་པའི་ཞལ་ནི་ཁྲོ་གཉེར་དང་ལྡན་པའི་ཁྲོ་མོའི་རྣམ་པར་མཛད་ནས་ཉོ
27	prose	47	དགུ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཕྱག་གཡོན་པའི་མཐེབས་ཧྲིན་གྱིས་ཐུགས་ཀར་ཨུ་ནྲལ་འཇིན་ཅིང་
28	prose	57	མ་ལུས་ཕྱོགས་ཀྱི་སྟེ་ཕྱོགས་ཐམ་ཅད་ཕྱག་གཡས་མཆོག་སྦྱིན་གྱི་ཕྱ་བརྒྱ་མཛད་པའི་བྱས་གི་མཐ
29	prose	42	བཅུ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། འགྲེལ་ངེར་བསྐོང་བས་རབ་ཏུ་དགའ་བ་། གཞན་ཟིལ་གྱིས་གནོན་བས
30	prose	42	སྔགས་ཀྱི་བཤད་པ་སྟེ། བཞད་མོ་རབ་ཆུ་བཞད་པའི་ཏཱཧཏྟཱ་རེ་ཞེས་སོགས་ཀྱི་སྒྲ་ངར་པན་བཅུ་བཙ
31	prose	34	བཅུ་གཅིག་ནི། ཕྱག་འཚལ། གང་ལ་ན། ས་གཞི་སྐྱོང་བདེ་ཕྱོགས་བཅུར་སོགས་རང་ཉིད་བལྟས་ཅིག་གས
32	prose	36	ཞལ་ཁྲོ་གཉེར་གིས་བའི་ཁྲོ་མོའ་རྣམ་པར་བཞུགས་བའི་ཐུགས་ཀར་ཡི་གེ་ཧུ་གིས་ཚོན་བདེ་མོད་བར
33	prose	26	བཅུ་གཉིས་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན།ཟླ་བའི་དུམ་བུས་ཏཾ་ཟླ་བ་ཕྱེད་པས་དབུ་བརྒྱན་ཅིང་དེ་ལ
34	prose	39	གང་གི་དབུས་རལ་པའི་ཁྲོད་ན་སང་རྒྱས་འོད་དཔག་མེད་རིགས་བདག་གི་རྒུལ་དུ་བཞུགས་པ། ལས་དུས
35	prose	29	བཅུ་གསུམ་པ། ཕྱག་འཚལ། གང་ལ་ན། བསྐལ་པའམ་སྟེ་བསྐལ་པ་འཇིག་པའི་དུས་ཀྱི་མེ་ལྟར་རབ་ཏུ་འ
36	prose	25	ཞབས་གཡས་བརྐྱང་ཞིང་གཡོན་བསྐུམས་པའི་སྟར་ཀྱིས་བཞུགས་ནས་མི་མཐུན་ཕྱོགས་ཀྱི་དགྲའི་དཔུང
37	prose	28	བཅུ་བཞི་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ས་གཞིའི་ངོས་ལ་སྡིགས་དང་བཅའ་བའི་གཡོན་པའི་ཕྱག་གི་མཐ
