index	kind	syllables	preview
1	prose	22	༄༅། །སྒྲོལ་མ་ཕྱག་འཚལ་ཉི་ཤུ་རྩ་གཅིག་གི་བསྟོད་པའི་རྣམ་བཤད་གསལ་བའི་འོད་ཟེར་ཞེས་བྱ་བ
2	prose	4	༄༅། །ན་མོ་བུདྡྷ་ཡ།
3	prose	316	བསྟོད་པ་འདི་ལ་དོན་གཉིས་ཏེ། བསྟོད་པ་དངོས་དང་ཕན་ཡོན་ནོ། །དང་པོ་ལ་གསུམ་སྟེ། སྐུའི་ར
4	prose	12	ཨོ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། །
5	prose	6	ཕྱག་འཚལ་སྒྲོལ་མ་ནི་
6	prose	25	འཁོར་བའི་དུ་ཁ་ལས་སྒྲོལ་མ། མྱུར་མ་ནི་སེམས་ཅན་གྱི་དོན་ལ་མྱུར་མ། དཔའ་མོ་ནི་ཉོན་མོངས
7	prose	8	སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །
8	prose	3	ཞེས་པ་ནི།
9	prose	4	འོད་གསལ་བའི་དཔེའོ། །
10	prose	8	འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། །
11	prose	3	ཞེས་པ་ནི།
12	prose	9	འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་སྤྱན་རས་གཟིགས།
13	prose	7	ཆུ་སྐྱེས་ཞལ་གྱི་ཞེས་པ་ནི།
14	prose	8	དེའི་སྤྱན་ཆབ་ལས་བྱུང་བའི། པད་མའམ་ཨུཏྤལ།
15	prose	8	གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། །
16	prose	3	ཞེས་པ་ནི།
17	prose	9	པདྨ་ཁ་བྱེ་བ་ལས་སྒྲོལ་མ་བྱུང་བའོ། །
18	prose	8	ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། །
19	prose	3	ཞེས་པ་ནི།
20	prose	4	འོད་དཀར་བའི་དཔེའོ། །
21	prose	3	གང་བ་
22	prose	6	ནི་ཉ་གང་བ་ལྟ་བུའོ། །
23	prose	6	བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ། །
24	prose	3	ཞེས་པ་ནི།
25	prose	17	ཟླ་བ་ཉ་གང་བ་དེ་ཡང་བརྒྱ་ཕྲག་དུ་མ་སྤུངས་པ་ཙམ་གྱི་ཞལ་ལོ། །
26	prose	8	སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས། །
27	prose	8	རབ་ཏུ་ཕྱེ་བའི་འོད་རབ་འབར་མ། །
28	prose	3	ཞེས་པ་ནི།
29	prose	11	དེ་གཉིས་འོད་ཟེར་དཔག་ཏུ་མེད་པ་འཕྲོ་བའི་དཔེའོ། །
30	prose	6	ཕྱག་འཚལ་གསེར་སྔོ་ནི་
31	prose	9	ཁ་དོག་གསེར་བཙོ་མའི་འོད་ལྟར་གསལ་བའོ། །
32	prose	7	ཆུ་ནས་སྐྱེས་ཀྱི་ཞེས་པ་ནི།
33	prose	4	ཕྱག་མཚན་པད་མའོ། །
34	prose	7	པདྨས་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ། །
35	prose	3	ཞེས་པ་ནི།
36	prose	6	ཕྱག་གཡོན་ན་པདྨ་བསྣམས་པའོ། །
37	prose	4	སྦྱིན་པ་ནི་
38	prose	7	སྦྱིན་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། །
39	prose	4	བརྩོན་འགྲུས་ནི་
40	prose	8	བརྩོན་འགྲུས་ཀྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། །
41	prose	4	དཀའ་ཐུབ་ནི་
42	prose	2	ཚུལ་ཁྲིམས།
43	prose	4	ཞི་བ་ནི་
44	prose	3	ཉོན་མོངས་པ།
45	prose	4	བཟོད་པ་ནི་
46	prose	7	བཟོད་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། །
47	prose	4	བསམ་གཏན་ནི་
48	prose	8	བསམ་གཏན་གྱི་ཕ་རོལ་ཏུ་ཕྱིན་པའོ། །
49	prose	6	སྤྱོད་ཡུལ་ཉིད་མ་ནི་
50	prose	24	ཤེས་རབ་སྟེ། ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་པོ་དེ་སྤྱད་པ་ལས་སྒྲོལ་མའི་སྐུ་ཐོབ་སྟེ། དེ་མཚན་པ
51	prose	8	ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར། །
52	prose	3	ཅེས་པ་ནི།
53	prose	12	དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱི་དབུའི་གཙུག་ཏོར་ལྟ་བུའོ། །
54	prose	8	མཐའ་ཡས་རྣམ་པར་རྒྱལ་བ་སྤྱོད་མ། །
55	prose	3	ཞེས་པ་ནི།
56	prose	18	བདུད་དང་དགྲ་ལ་སོགས་པ་ཕྱིར་རྒོལ་བ་ཐམས་ཅད་ལས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་པའོ། །
57	prose	8	མ་ལུས་ཕ་རོལ་ཕྱིན་པ་ཐོབ་པའི། །
58	prose	3	ཞེས་པ་ནི།
59	prose	14	ས་བཅུ་མ་ལུས་པའི་ངོ་བོ་ཕ་རོལ་ཕྱིན་པ་བཅུ་ཐོབ་པའོ། །
60	prose	8	རྒྱལ་བའི་སྲས་ཀྱིས་ཤིན་ཏུ་བརྟེན་མ། །
61	prose	3	ཞེས་པ་ནི།
62	prose	11	རྒྱལ་བའི་སྲས་ནི་བྱང་ཆུབ་སེམས་དཔའ་ཐམས་ཅད་དོ། །
63	prose	7	ཤིན་ཏུ་བརྟེན་མ་ཞེས་པ་ནི།
64	prose	7	དེ་རྣམས་ཀྱིས་ཕུད་དུ་ཁུར་བའོ། །
65	prose	7	ཕྱག་འཚལ་ཏུཏྟཱ་ར་ཧཱུཾ་ཡི་གེས། །
66	prose	3	ཞེས་པ་ནི།
67	prose	6	ཏུཏྟཱ་རེ་ཧཱུཾ་ཞེས་སྔགས་སོ། །
68	prose	5	ཡི་གེ་ཞེས་པ་
69	prose	13	སྔགས་ཀྱི་ཡི་གེ་དེ་རྣམས་ཀྱི་མཐུ་དང་འོད་ཟེར་གྱིས་སོ། །
70	prose	11	འདོད་དང་ཕྱོགས་དང་ནམ་མཁའ་གང་མ། ཞེས་པ་ནི་
71	prose	12	འདོད་ཁམས་དང་གཟུགས་ཁམས་དང་གཟུགས་མེད་ཀྱི་ཁམས་གང་བའོ། །
72	prose	8	འཇིག་རྟེན་བདུན་པོ་ཞབས་ཀྱིས་མནན་ཏེ། །
73	prose	3	ཞེས་པ་
74	prose	17	འདོད་ཁམས་ཀྱི་འགྲོ་བ་ལྔ་དང་། གཟུགས་ཁམས་དང་དྲུག གཟུགས་མེད་ཁམས་དང་བདུན་མནན་པའོ། །
75	prose	8	ལུས་པ་མེད་པར་འགུགས་པར་ནུས་མ། །
76	prose	3	ཞེས་པ་ནི།
77	prose	26	ལུས་པ་མེད་པ་ནི་སེམས་ཅན་གྱི་དོན་མ་ལུས་པར་བྱེད་པའོ། །འགུགས་པར་ནུས་མ་ནི། རྒྱལ་པོ་ལ་
78	prose	8	ཕྱག་འཚལ་བརྒྱ་བྱིན་མེ་ལྷ་ཚངས་པ། །
79	prose	8	རླུང་ལྷ་སྣ་ཚོགས་དབང་ཕྱུག་མཆོད་མ། །
80	prose	3	ཞེས་པ་ནི།
81	prose	32	ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། མེ་ལྷ་དང་ཚངས་པ་དང་། རླུང་ལྷ་དང་། དེ་རྣམས་ཀྱི་བདག་པོར་
82	prose	16	འབྱུང་པོ་རོ་ལངས་དྲི་ཟ་རྣམས་དང་། གནོད་སྦྱིན་ཚོགས་ཀྱིས་མདུན་ནས་བསྟོད་མ། །
83	prose	4	ཞེས་པ་ནི་
84	prose	34	འབྱུང་པོ་ནི་ཚོགས་བདག་ལ་སོགས་པའོ། །རོ་ལངས་ནི་དབང་ཕྱུག་ཆེན་པོ་ལ་སོགས་པའོ། །དྲི་ཟ་ན
85	prose	5	ཚོགས་ཀྱིས་ཞེས་པ་
86	prose	13	དེ་ལ་སོགས་པ་ལྷ་སྲིན་སྡེ་བརྒྱད་ཀྱིས་མདུན་ནས་བསྟོད་པའོ། །
87	prose	8	ཕྱག་འཚལ་ཏྲད་ཅེས་བྱ་དང་ཕཊ་ཀྱིས། །
88	prose	8	ཕ་རོལ་འཁྲུལ་འཁོར་རབ་ཏུ་འཇོམས་མ། །
89	prose	3	ཞེས་པ་ནི།
