index	syllables	pieces	method	preview
5	49	1	STAGE2_MANUAL	ཡང་དག་པར་རྫོགས་པའི་སངས་རྒྱས་རྣམ་སྣང་གིས་གསུངས་པའི་ཕྱག་འཚལ་ཉི
10	62	1	STAGE2_MANUAL	གཉིས་པ་ལ། རྩ་བའི་སྔགས་ཀྱིས་བསྟོད་པ་འདི་དང་།།ཕྱག་འཚལ་བ་ནི་ཉི་
12	71	1	STAGE2_MANUAL	ཅེས་པ་རྒྱ་དཔེ་ལ་ཡོད་པ་སྤང་ལོས་བསྒྱུར་བ་འདི་ཡིན་གསུང་ཡང་། རྩ་
28	71	1	STAGE2_MANUAL	དེ་གང་ལས་བྱུང་ན། སྐད་གཅིག་གིས་འཇིགས་པའི་ཕུང་པོ་ལྔའམ། བཞི་ལ་བ
39	55	1	STAGE2_MANUAL	ཡང་ན། བརྒྱད་གཉིས་པ་སྒྲིགས་ཞེས་འདོན་པ་ལྟར་ན། ཞལ་གྱི་ནང་ན་ཟླ་བ
47	73	1	STAGE2_MANUAL	གསུམ་པ། རྒྱལ་བ་དང་། རྒྱལ་སྲས་ཀྱིས་གུས་པས་བསྟེན་པའི་སྒོ་ནས་བས
50	90	1	STAGE2_MANUAL	བཞི་པ་མི་མཐུན་ཕྱོགས་གནོན་པའི་སྒོ་ནས་བསྟོད་པ་ནི། . ཕྱག་འཚལ་ཏུ
54	50	1	STAGE2_MANUAL	དེར་མ་ཟད་འབྱུང་པོའི་གཙོ་བོ་ཚོགས་བདག །རོ་ལངས་ཀྱི་གཙོ་བོ་དབང་ཕ
58	106	1	STAGE2_MANUAL	ཞེས་སོགས་ཏེ། དྲག་པོའི་སྔགས་ཀྱིས་ཕ་རོལ་གྱིས་བྱས་པའི་མཐུ་དང་། 
63	66	1	STAGE2_MANUAL	གཞན་ཡང་། དེ་ལྟ་བུའི་ཆུ་སྐྱེས་ཀྱི་ཞལ་ནི། ཁྲོ་གཉེར་ལྡན་མཛད་དེ།
65	60	1	STAGE2_MANUAL	གཉིས་པ་གཡས་གཡོན་གྱི་ཕྱག་མཚན་གྱི་སྒོ་ནས་བསྟོད་པ་ནི། . གཡོན་པའ
75	46	1	STAGE2_MANUAL	བཞི་པ་ཕྱོགས་སྐྱོང་བཅུས་འཕྲིན་ལས་སྒྲུབ་པའི་སྒོ་ནས་བསྟོད་པ་ནི།
85	66	1	STAGE2_MANUAL	ཞེས་པ་སྟེ། བསྐལ་པ་མཐའ་མའི་མེ་ནི། ཉི་མ་བདུན་ལས་ཚ་བའི་འོད་ཟེར་
89	45	1	STAGE2_MANUAL	ཞེས་པ་ལ། ཁྲོ་གཉེར་ཅན་མཛད་ཅེས་པ། ཁྲོ་མོའི་ཆ་བྱད་ཀྱི་ཞབས་གཡས་ཀ
93	49	1	STAGE2_MANUAL	ཞེས་པ་རྗེ་བཙུན་གྲགས་པས། བདེ་མ་ནི། ཟག་མེད་ཀྱི་བདེ་བ་དང་ལྡན་མ།
94	89	1	STAGE2_MANUAL	ཡང་མཁས་པ་ཁ་ཅིག་ནི། རང་བཞིན་སྐྱེ་མེད་ལ་ཚོགས་ལམ་དུ་ཐོས་བསམ་གྱི
96	43	1	STAGE2_MANUAL	ཞེས་པ་གསུང་ཡི་གེ་བཅུ་པ། མཇུག་ཏུ་སྭཱཧཱ། དང་པོར་ཨོཾ་དང་། བར་དུ
103	53	1	STAGE2_MANUAL	དེ་གཉིས་ཀྱིས་ཀུན་ནས་དད་པས་ཆོས་འཁོར་བསྐོར་བ་ལ་རབ་ཏུ་དགའ་བའི་ག
104	60	1	STAGE2_MANUAL	གཉིས་པ་ཁྲོ་མོས་ཁམས་གསུམ་གཡོ་བའི་འཕྲིན་ལས་ནི . ཕྱག་འཚལ་ཏུ་རེའ
111	64	1	STAGE2_MANUAL	བཞི་པ་རྩོད་པ་དང་རྨི་ལམ་ངན་པ་སེལ་བའི་འཕྲིན་ལས་ནི། . ཕྱག་འཚལ་ལ
112	45	1	STAGE2_MANUAL	ཀུན་ནས་གུས་པས་སྐུ་ཞི་ཁྲོའི་ཆེ་དང་། ཞི་ཁྲོའི་སྔགས་ཀྱི་གོ་ཆ་དག
114	103	1	STAGE2_MANUAL	ལྔ་པ་རིམས་ནད་སེལ་བའི་སྒྲོལ་མའི་འཕྲིན་ལས་ནི། . ཕྱག་འཚལ་ཉི་མ་ཟ
115	79	1	STAGE2_MANUAL	དྲུག་པ་གདོན་དང་རོ་ལངས་འཇོམས་པའི་འཕྲིན་ལས་ནི། . ཕྱག་འཚལ་དེ་ཉི
118	86	1	STAGE2_MANUAL	དང་པོ་ནི། ཞི་བ་དང་ཁྲོ་མོའི་རྩ་བའི་སྔགས་ཀྱི་བསྟོད་པ་ཉེར་གཅིག་
119	70	1	STAGE2_MANUAL	བསྟོད་པ་དང་། ཁྱད་པར་སྲོད་ཀྱི་དུས་སུ་ཁྲོ་མོའི་ངང་། ཐོ་རངས་དུས
120	80	1	STAGE2_MANUAL	ཕན་ཡོན་ནི། རྒྱལ་བ་བྱེ་བ་ཕྲག་བདུན་རྣམས་ཀྱིས་མྱུར་དུ་སྟེ། ཚེ་ད
121	50	1	STAGE2_MANUAL	དེ་མཐར་ཕྱིན་པར་བྱེད་ཅིང་གཏན་ནས་གནས་པར་བྱེད་པ་ནི། གཏི་མུག་གི་
122	49	1	STAGE2_MANUAL	གཞན་ཡང་གཡོ་བའི་དུག་འགྲོ་བ་ཁྱི་དྲུག་དང་། སྦྲུལ་དྲུག་གིས་ཟིན་པ
125	45	1	STAGE2_MANUAL	གཞན་དོན་ནི། སེམས་ཅན་གཞན་པ་རྣམས་ལ་ཡང་ངོ་།།ཞེས་གཞན་གྱི་དོན་དུ་
126	133	1	STAGE2_MANUAL	བཞི་པ་གྲངས་གྱི་སྒོ་ནས་ཕན་ཡོན་བསྡུས་པ་ནི། གཉིས་གསུམ་བདུན་དུ་མ
127	67	1	STAGE2_MANUAL	བདུན་དུ་མངོན་པར་བརྗོད་ན། ཞེས་པ་གྲངས་ཀྱི་ཁྱད་པར་ཏེ། དུས་གསུམ་
129	93	1	STAGE2_MANUAL	རིན་པོ་ཆེ་བུ་སྟོན་གྱིས་ནི། གཉིས་ཞེས་བྱ་བ་ཉིན་མཚན་གྱི་ཆ་གཉིས།
