index	syllables	pieces	method	preview
10	43	1	STAGE2_MANUAL	དམན་ཏན་ཇི་ལྟ་བུ་དང་ལྡན་ཞེ་ན། མྱུར་མ་སོགས་ཏེ། ཐུགས་རྗེས་སེམས་
12	52	1	STAGE2_MANUAL	དེ་གང་ལས་འཁུངས་ཞེ་ན། འཇིག་རྟེན་གསུམ་མགོན་སོགས་ཏེ། ས་འོག་ས་སྟ
19	52	1	STAGE2_MANUAL	ཡང་ན་ཉོད་མེང་པ་དག་ཆགས་དང་བཅས་པ་བཞི་བ་སྟེ་སྤངས་པ་དང་། བཟོད་པ་
20	47	1	STAGE2_MANUAL	བཞི་པ་ནི། ཕྱགས་ཚལ། གང་ལ་ན། དེ་བཞིན་གཤེགས་པ་ཐམས་ཅད་ཀྱིས་ཀྱང། 
22	72	1	STAGE2_MANUAL	ལྔ་པ་ནི། ཕྱག་འཚལ་ཏྟུདྡཱ་རེ་སོགས་ཏེ། ཕྱག་འཚལ། གང་ལ་ན། ཏུ་ཏྟཱར
23	48	1	STAGE2_MANUAL	འཇིག་རྟེན་བདུན་པོ་ནི་འདོད་ཁམས་ཀྱི་འགྲོ་བ་རྒྱུད་ལྔ་། དེའི་སྟེ
24	45	1	STAGE2_MANUAL	དྲུག་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ལྷའི་དབང་པོ་བརྒྱ་བྱིན་དང་། མེ་ལྷ
25	53	1	STAGE2_MANUAL	ཚོགས་ཀྱི་བདག་པོ་ལ་སོགས་པའི་འབྱུང་པོ་རྣམས་དང་། དུང་ཁྲོད་ན་གནས
26	53	1	STAGE2_MANUAL	བདུན་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཞལ་ནས་རྗོད་ཏྲད་ཅེས་བྱ་བ་དང་བཅེས་
31	47	1	STAGE2_MANUAL	དགུ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཕྱག་གཡོན་པའི་མཐེབས་ཧྲིན་གྱིས་ཐུགས
32	57	1	STAGE2_MANUAL	མ་ལུས་ཕྱོགས་ཀྱི་སྟེ་ཕྱོགས་ཐམ་ཅད་ཕྱག་གཡས་མཆོག་སྦྱིན་གྱི་ཕྱ་བར
33	42	1	STAGE2_MANUAL	བཅུ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། འགྲེལ་ངེར་བསྐོང་བས་རབ་ཏུ་དགའ་བ་། 
34	42	1	STAGE2_MANUAL	སྔགས་ཀྱི་བཤད་པ་སྟེ། བཞད་མོ་རབ་ཆུ་བཞད་པའི་ཏཱཧཏྟཱ་རེ་ཞེས་སོགས་
42	45	1	STAGE2_MANUAL	ཞལ་ཁྲོ་གཉེར་ཅན་། ཁྲོ་མོའི་རྣམ་བང་མཛད་པས་ཕྱག་གལ་པ་ཀྱི་མཐིལ་ན་
43	55	1	STAGE2_MANUAL	བཅོ་ལྔ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཟག་བ་མེད་པའི་བདེ་བའི་རང་གཞན་ཅན
46	44	1	STAGE2_MANUAL	བཅུ་དྲུག་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཐུགས་ཀར་འཁོར་ལོའི་ལྟེ་བར་ཏཾ་
47	69	1	STAGE2_MANUAL	ཨོཾ་ཏཱ་རེ་ཏུ་ཏཱ་རེ་ཏུརེ་སྦཱ་ཧཱ་ཞེས་པའི་ཡི་གི་བཅུ་པའི་སྔགས་ནི
57	43	1	STAGE2_MANUAL	ཉེར་གཅིག་ནི། ཕྱག་འཚལ། གང་ལ་ན། གསུང་ཐུགས་ཀྱི་གནམ་གསུམ་དུ་དེ་ཉ
58	45	1	STAGE2_MANUAL	འབྱུང་པོ་ལ་སོགས་པའི་གདོན་དང་རོ་ལངས་དང་གནོད་སྦྱིན་ལ་སོགས་པའི་
60	48	1	STAGE2_MANUAL	རྩ་བའི་སྔགས་ནི་སྔརཞི་ཁྲོའི་སྔགས་བསྟན་པ་རྣམས་ལ་རྗེ་བཙུན་གྲགས་
61	62	1	STAGE2_MANUAL	གཉིས་པ་ནི་། ལྷ་མོ་སྒྲོལ་མ་ལ་གུས་པ་ཡང་དག་པ་དང་ལྡན་པའི་བློ་ལྡན
63	283	1	STAGE2_MANUAL	རྒྱལ་བ་བྱེ་བ་ཕྲག་བདུན་རྣམས་ཀྱིས།། མྱུར་དུ་དབང་འསྐུར་བར་འགྱུར
67	66	1	STAGE2_MANUAL	མཐའ་དག་འགྲོ་འདི་རྒྱལ་ཡུམ་དེབ་མ་དེའི།། དྲིན་ལས་ཆོས་སྐུའི་དཔྱི
