index	syllables	pieces	method	preview
17	85	1	STAGE2_MANUAL	དང་པོ་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་འཕགས་པ་སྤྱན་རས་གཟིགས་དབང་ཕྱ
18	42	1	STAGE2_MANUAL	འཁྲུངས་ནས་གདུལ་བྱའི་དོན་ཅི་ལྟ་བུ་མཛད་སྙམ་ན། ཕྱག་འཚལ་སྒྲོལ་མ་
19	45	1	STAGE2_MANUAL	དེ་ལྟར་མྱུར་ཞིང་དཔའ་བའི་རྗེ་བཙུན་སྒྲོལ་མ་དེ་ཉིད་ཀྱིས་སེམས་ཅན
29	107	1	STAGE2_MANUAL	སྤྱིར་ཟླ་བ་དེ་དངོས་པོ་གཞན་ལས་ཁྱད་པར་དུ་འཕགས་པ་བཀྲག་མདངས་དང་ལ
31	67	1	STAGE2_MANUAL	ཞེས་སྐར་མ་སྟོང་ཕྲག་ཙམ་གཅིག་ཏུ་འཚོགས་པ་ན་འོད་ཟེར་ཀྱང་མིག་གི་ལ
37	56	1	STAGE2_MANUAL	སྐུ་མདོག་གི་དབང་དུ་ན། གསེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི། ཞེས་མདངས་ཤིན
38	55	1	STAGE2_MANUAL	པདྨས་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ།།ཞེས་དེ་ལ་ཆུ་ལས་སྐྱེས་པའི་མེ་ཏོག་
39	85	1	STAGE2_MANUAL	སྐུའི་དབང་དུ་ན། རྗེ་བཙུན་མ་ནི་སྐུ་གང་ལས་བྱུང་སྙམ་ན། རྒྱུ་ཕ་ར
40	102	1	STAGE2_MANUAL	ཞི་བ་ཞེས་པས་དངོས་བསྟན་གྱི་དབང་དུ་བྱས་ན། ཕྱིན་དྲུག་ལ་སྐྱོན་གྱ
45	49	1	STAGE2_MANUAL	ཕྱག་འཚལ་བ་ལ་ཡོན་ཏན་གང་དང་ལྡན་ན། རྒྱལ་བ་སངས་རྒྱས་དང་བྱང་ཆུབ་ས
