index	syllables	pieces	method	preview
6	61	1	STAGE2_MANUAL	ཞེས་མཆོད་པར་བརྗོད་པར་སྔོན་དུ་སོང་ནས། འཆད་བྱའི་གཞུང་ཕྱག་འཚལ་ས
7	74	1	STAGE2_MANUAL	ༀ་ནི། འཕགས་མ་སྒྲོལ་མའི་སྐུ་གསུང་ཐུགས་ཀྱི་རྡོ་རྗེ་གསུམ་མཚོན། 
12	60	1	STAGE2_MANUAL	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། རྒྱལ་ཀུན་ཕྲིན་ལས་ཀྱི་བདག་ཉིད། སྲིད་པའི་ལ
14	62	1	STAGE2_MANUAL	ས་འོག་ས་སྟེང་ས་བླ་སྟེ་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་འཕགས་པ་སྤྱན
15	80	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། བྱང་ཆུབ་ཀྱི་སེམས་འཕེལ་ཞིང་སྣང་བ་དབང་དུ་སྡུ
20	47	1	STAGE2_MANUAL	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཤིན་ཏུ་དྭངས་པའི་སྟོན་ཀའི་དུས་ཀྱི་ཟླ་བ་ཀུ
21	48	1	STAGE2_MANUAL	མཁྱེན་གཉིས་ཀྱི་སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་ལྟ་བུ་རྣམས་ཀྱིས། རབ་ཏུ་
22	87	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། ཤེས་རབ་ཀྱི་སྟོབས་འཕེལ་ཞིང་བློ་གྲོས་རྒྱས་པར
27	55	1	STAGE2_MANUAL	ལམ་སྦྱིན་པ། བརྩོན་འགྲུས། དཀའ་ཐུབ་ཚུལ་ཁྲིམས། ཞི་བ་ཤེས་རབ། བཟོ
28	55	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། འཕགས་མ་སེར་མོ་བསོད་ནམས་མཆོག་སྟེར་འདི་ནི་སྐ
35	50	1	STAGE2_MANUAL	སྤངས་རྟོགས་མ་ལུས་པ་ཡོངས་སུ་རྫོགས་པས་སྤང་བྱ་སྒྲིབ་པ་བཅུ་སྤངས་
36	68	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། འཆི་མེད་ཚེ་སྒྲུབ་གཙུག་ཏོར་རྣམ་པར་རྒྱལ་མ་སྐ
40	63	1	STAGE2_MANUAL	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཏུཏྟཱ་ར་ཡི་གཟུང་སྔགས་ལས་འོད་སྣ་ཚོགས་འབར་
41	42	1	STAGE2_MANUAL	འཇིག་རྟེན་བདུན་ཏེ། ཀླུ། ཡི་དྭགས། ལྷ་མ་ཡིན།རིག་འཛིན། མི། མིའམ
42	48	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། དབང་དུ་སྡུད་པའི་རིག་བྱེད་ལྷ་མོ་འདི་ཉིད་སྐུ
44	67	1	STAGE2_MANUAL	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཤར་གྱི་ལྷ་དབང་བརྒྱ་བྱིན། ཤར་ལྷོའི་དྲང་སྲ
45	73	1	STAGE2_MANUAL	དེ་བཞིན་བྱང་ཤར་གྱི་བགེགས་སོགས་འབྱུང་པོ་དང་། ལྷོ་ནུབ་ཏུ་རོ་ལང
46	69	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། གདོན་ཚོགས་འཛོམས་པའི་སྒྲོལ་མ་འཇིགས་བྱེད་ཆེན
50	56	1	STAGE2_MANUAL	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཞི་བས་མི་ཐུབ་པའི་འགྲོ་རྣམས་དྲག་པོའི་སྦྲ་
51	69	1	STAGE2_MANUAL	སྟོང་དང་སྙིང་རྗེས་སྲིད་ཞི་ལས་འདས་པའི་བརྡར་གཡས་བསྐུམ་གཡོན་བརྐ
52	84	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། དམག་དང་ཐོག་སེར་འཇོམ་མ་གཏུམ་མོ་གཞན་གྱིས་མི་
60	71	1	STAGE2_MANUAL	རབ་ཏུ་མཛེས་པའི་ཆུ་སྐྱེས་དང་མཚུངས་པའི་ཞལ་ནི་ཕྱིན་ཅི་ལོག་པའི་མ
61	65	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། རྒོལ་བའི་མཚང་འབྲུ་གཞོམ་པའི་འཕགས་མ་གཞན་མི་ར
64	44	1	STAGE2_MANUAL	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། དཀོན་མཆོག་གསུམ་མཚོན་པའི་ཕྱག་རྒྱ་སྟེ། མཛུ
65	57	1	STAGE2_MANUAL	བརྒྱད་དང་བཅུ་དྲུག་ལས་ཕྱོགས་ཀྱི་འཁོར་ལོས་བསྲུང་བའི་རྒྱན་གྱིས་
66	72	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། འཇིགས་པའི་ཚོགས་ཀུན་ལས་སྐྱོབ་པའི་སེང་ལྡེང་ན
67	66	1	STAGE2_MANUAL	འཇིགས་པ་ཆེན་པོ་བཅུ་དྲུག་ནི། ཚུལ་ཁྲིམས་དང་ལྟ་བ་མཆོག་འཛིན་སེང་
68	60	1	STAGE2_MANUAL	འཆབ་འཚིག་དམུ་རྒོད་དགྲའི་འཇིགས་པ། གཡོ་སྒྱུ་བརྗེད་ངན་གདོན་གྱི་
74	62	1	STAGE2_MANUAL	གསུང་བཞད་པ་བརྒྱད་དང་ལྡན་པའི་རིག་སྔགས། ཧ་ཧཱ།ཧི་ཧི། ཧེ་ཧེ། ཧོ་
75	71	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། འཇིག་རྟེན་དབང་དུ་བྱེད་པའི་སྒྲོལ་མ་འཇིག་རྟེ
80	56	1	STAGE2_MANUAL	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ས་གཞི་ཆེན་པོ་འདི་སྐྱོང་བའི་ས་ཡི་ལྷ་མོ་དང
81	54	1	STAGE2_MANUAL	ཁྲོ་གཉེར་གཡོ་བའི་ཐུགས་ཀའི་ཡི་གེ་ཧཱུཾ་གི་འོད་ཟེར་གྱིས་ལྷ་ཀླུ་
82	68	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། དབུལ་ཕོངས་སེལ་བའི་ནོར་སྟེར་སྒྲོལ་མ་འདི་ཉིད
87	75	1	STAGE2_MANUAL	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། ཟླ་བའི་དུམ་བུ་ནི་ཟླ་བ་ཕྱེད་པ་སྟེ་དེས་དབུ
89	65	1	STAGE2_MANUAL	དུས་རྟག་པར་མཐའ་ཡས་ཀྱི་འགྲོ་བ་རྣམས་ལ་ཤིན་ཏུ་འཁོར་གསུམ་དམིགས་པ
90	73	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། སྣོད་བཅུད་དགེ་ལེགས་ཀྱིས་བདེ་བར་བྱེད་པའི་འཕ
95	81	1	STAGE2_MANUAL	ཞབས་གཡས་བརྐྱངས་གཡོན་བསྐུམ་པའི་རོལ་སྟབས་ཅིར་ཡང་མ་ངེས་པ་དང་། བ
96	100	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། གཟུགས་ཅན་གཟུགས་མེད་ཀྱི་གཡུལ་དང་བར་ཆད་ལས་རྒ
100	44	1	STAGE2_MANUAL	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། རི་རབ་གླིང་བཞི་དང་བཅས་པའི་ས་གཞིའི་ངོས་ལ།
101	85	1	STAGE2_MANUAL	ཞལ་ཁྲོ་གཉེར་གྱི་ཉམས་ཅན་དང་ལྡན་པར་མཛད་ནས། ཡི༷་གེ་ཧཱུཾ་གི་སྒྲ་
102	77	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། གདུག་ཅན་དམ་སྲི་བགེགས་རིགས་ཀྱི་གནོད་པ་འཇོམས
107	60	1	STAGE2_MANUAL	ཡུལ་གང་ལ་ཕྱག་འཚལ་ན། འབྲས་བུ་སྡུག་བསྔལ་ཟད་པས་བདེ་མ།དེའི་རྒྱུ་
109	69	1	STAGE2_MANUAL	བཟླས་པའི་མཇུག་ཏུ་སྭཱ་ཧྭ་དང་ༀ་གྱིས་འགོ་བརྩམས་པའི་རྩ་བའི་རིག་ས
110	59	1	STAGE2_MANUAL	གསལ་འདེབས་ཚུལ་ནི། སྡིག་སྒྲིབ་ཞི་བར་མཛད་པའི་སྒྲོལ་མ་འདི་ཉིད་ས
