index	kind	syllables	preview
1	prose	15	༄༅། །ཕྱག་འཚལ་ཉེར་གཅིག་མའི་ཊིཀྐ་འཕགས་མའི་ཞལ་ལུང་ཞེས་བྱ་བ་བཞུགས་སོ། །
2	prose	53	ན་མོ་གུ་རུ། རྒྱལ་བ་རྒྱུད་ཀྱི་སྟོན་པ་རྡོ་རྗེ་འཆང་། །རྒྱལ་སྲས་རྒྱུད་ཀུན་སྡུད་མཛད་ག
3	prose	199	ལྔ་བརྒྱའི་གཙུག་རྒྱན་ཇོ་བོ་ཆེན་པོ་སྟེ། །ལམ་འདིའི་སྲོལ་འབྱེད་པཎ་གྲུབ་གསུམ་ལ་འདུད། 
4	prose	78	དེ་ལ་གཉིས།མཚན་དོན་གྱི་སྟེང་ནས་སྤྱིར་བསྟན་པ་དང་། རྒྱུད་ཀྱི་ཚིག་དོན་བྱེ་བྲག་ཏུ་བཤད
5	prose	14	དང་པོ་ནིའཕགས་མ་ཉིད་ཀྱི་གསང་བ་གསུམ་གྱི་ཡོན་ཏན་གྱིས་སོ། །
6	prose	12	གཉིས་པ་ནི།སྐྱེ་འཕགས་ཀྱིས་བསྡུས་པའི་སེམས་ཅན་མ་ལུས་པའོ། །
7	prose	78	གསུམ་པ་ནི།འགྲོ་རྣམས་ཞི་བའི་ལས་ལ་འགོད་པ་ནས་བཟུང་། མྱང་འདས་ལ་འགོད་པའི་བར་གྱི་འཕྲིན
8	prose	113	ཚུལ་དེ་ལྟར་ན་རྒྱལ་བས་ཆོས་ཕུང་ཇི་སྙེད་གསུང་བ་ཐམས་ཅད་ཀྱི་དོན་འདིར་འདུ་བ་དང་།རྒྱལ་བ
9	prose	102	དེ་ཡང་གཞི་འཁོར་བའི་གནས་སྐབས་སུ་སེམས་རླུང་གི་རྟ་ལ་ཞོན་ནས་འདུ་བྱེད་ཀྱི་ལས་ཀྱིས་འཁོ
10	prose	51	འོན་ཀྱང་གདུལ་བྱའི་བློ་དང་འཚམ་པར་གང་ཟག་གཅིག་གིས་ཐོག་མར་ཐུགས་བསྐྱེད་ཚུལ་དང་། སྒྲོལ
11	prose	80	གཉིས་པ་རྒྱུད་ཀྱི་ཚིག་དོན་བྱེ་བྲག་ཏུ་བཤད་པ་ལ། རྒྱུད་གང་དུ་གཏོགས་པ་ནི། སྒྲོལ་མ་ལས་
12	prose	51	འདི་དང་གྲུབ་ཆེན་རྣམ་རྒྱལ་ཞབས་གཉིས་ཀྱིས་བླ་མེད་ལུགས་དང་། ཇོ་བོ་ཆེན་པོས་བྱ་རྒྱུད་ད
13	prose	69	།འདི་ལ་ཚིག་འགྲེལ་རྒྱ་གར་མ་མ་མཐོང་ལ་བོད་ཀྱི་འགྲེལ་བ་གསུམ་ཙམ་མཐོང་ཞིང་། གྲུབ་ཆེན་ཉ
14	prose	17	དེ་ལ་ཤོ་ལོ་ཀ་ཉེར་གཅིག་ལས། དང་པོ་ལོ་རྒྱུས་ཀྱི་སྒོ་ནས་བསྟོད་པ་ནི།
15	prose	34	ཕྱག་འཚལ་སྒྲོལ་མ་ཞེས་སོགས་སྟེ། དོན་ནི།ཕྱག་འཚལ་ལོ་གང་ལ་ན། འཕགས་མ་སྒྲོལ་མ་ཐུགས་རྗེ་
16	prose	31	ས་འོག་ས་སྟེང་ས་བླའི་འཇིག་རྟེན་གསུམ་གྱི་མགོན་པོ་སྤྱན་རས་གཟིགས་ཀྱི་ཞལ་གྱི་ཆུ་སྐྱེས
17	prose	20	ཇི་ལྟར་བྱུང་ན་འཕགས་པའི་སྤྱན་ཆབ་ལས་སྐད་ཅིག་གིས་གློག་འཁྱུག་པ་དང་འདྲ་བར་བྱུང་བའོ།
18	prose	24	རྒྱུད་ཀྱི་ཚིག་རྐང་གཉིས་པ་འདི་འགྲེལ་བ་སྔོན་མ་རྣམས་སུ་འཕགས་མ་རང་གི་སྤྱན་ལ་སྦྱར་ནས་
19	prose	13	འདིར་གྲུབ་ཆེན་ཉི་མ་སྦས་བས། སྤྱན་རས་གཟིགས་མགོན་ཐུགས་རྗེ་མ། །
20	prose	6	ཆུ་སྐྱེས་ཞལ་གྱི་གསེར་ལས། །
21	prose	7	ཆུ་འཛིན་ལས་སྐྱེ་གློག་འབྱུང་བཞིན། །
22	prose	7	བྱུང་བས་རབ་དགའི་སྒྲོལ་མ་བསྒོམ། །
23	prose	6	ཞེས་གསུངས་པ་ལྟར་བྲིས་སོ། །
24	prose	12	གཉིས་པ་རྒྱན་དང་འོད་ཟེར་གྱི་སྒོ་ནས་བསྟོད་པ་ནི།
25	prose	21	གང་ལ་ཕྱག་འཚལ་བའི་ཚུལ། སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ་གང་བ་བརྒྱ་ནི་བརྩེགས་པ་ལྟ་བུའི་ཞལ་
26	prose	19	སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱི་རབ་ཏུ་ཕྱེ་བའི་འོད་ཟེར་རབ་ཏུ་འབར་མ་ལའོ། །
27	prose	17	གསུམ་པ་སྐུ་མདོག་ཕྱག་མཚན་དང་ཕ་རོལ་ཏུ་ཕྱིན་པའི་སྒོ་ནས་བསྟོད་པ་ནི།
28	prose	24	ཕྱག་འཚལ་བའི་ཡུལ་སྐུ་མདོག་གསེར་ལྟར་མཛེས་ཤིང་ཁ་དོག་སྔོ་བའི་ཆུ་སྐྱེས་ཏེ་པདྨས་ཕྱག་ནི
29	prose	45	སྦྱིན་པ་དང་། བརྩོན་འགྲུས་དང་།དཀའ་ཐུབ་ཞི་བ་སྟེ་ཚུལ་ཁྲིམས་དང་། བཟོད་པ་དང་། བསམ་གཏན
30	prose	24	འགྲེལ་བ་སྔ་མ་རྣམས་ལས་འགའ་ཞིག་གིས་ཞི་བ་དང་། འགའ་ཞིག་གིས་སྤྱོད་ཡུལ་ཞེས་ཤེར་ཕྱིན་ལ་
31	prose	10	འདིར་གྲུབ་ཆེན་གྱིས ཤེས་རབ་བདག་ཉིད་ཕར་ཕྱིན་ལྔ། །
32	prose	7	ཡོངས་རྫོགས་འཕགས་མ་ཆོ་ག་བཞིན། །
33	prose	8	ཞེས་པ་འདི་ལ་བརྟེན་ནས་བྲིས་སོ། །
34	prose	56	འདིར་ཕྱིན་དྲུག་གི་གོ་རིམ་ཡོངས་གྲགས་དང་ཅུང་ཟད་མི་མཐུན་ཀྱང་། སྤྱིར་དང་པོ་གསུམ་བསོད
35	prose	62	ཕྱག་འཚལ་སེར་སྔོ་ཞེས་པ་ལ་ཡང་སེར་ལ་ཀ་སྔོན་འཇུག་ཡོད་མེད་ཀྱིས་འགྲེལ་བ་སྣ་ཚོགས་འདུག་ཀ
36	prose	16	བཞི་པ་དེ་བཞིན་གཤེགས་བ་སྲས་བཅས་ཀྱིས་བཀུར་བའི་སྒོ་ནས་བསྟོད་པ་ནི།
37	prose	43	གང་ལ་ཕྱག་འཚལ་བའི་ཡུལ་རྒྱལ་བ་ཐམས་ཅད་བསྐྱེད་པའི་ངེས་དོན་གྱི་ཡུམ་མཆོག་ཤེས་རབ་ཀྱི་ཕ་
38	prose	22	སྲིད་པ་དང་ཞི་བའི་ཕྱོགས་མཐའ་ཡས་པ་ལས་རྣམ་པར་རྒྱལ་བའི་སྤྱོད་པ་མཆོག་ཏུ་གྱུར་པ་དང་།
39	prose	87	ས་རང་རང་གི་ངོས་སྐལ་གྱི་ཕར་ཕྱིན་བཅུའི་འཕེལ་བ་ཡོངས་སུ་རྫོགས་པས་རྒྱལ་བའི་སྲས་ས་བཅུ་
