index	kind	syllables	preview
1	prose	18	རྗེ་བཙུན་བླ་མ་ཐུབ་པའི་དབང་པོ་མཉེས་པའི་མཆོད་སྤྲིན་མི་མང་ལམ་སྒྲོན་བཞུགས་སོ༎
2	prose	18	རྩོམ་སྒྲིག་པ། དགེ་བཤེས་བློ་བཟང་ཟླ་བ། སྒྲོལ་མ་ཕྱག་འཚལ་ཉེར་གཅིག་གི་མཆན་འགྲེལ་བཞུགས
3	prose	23	༈སྒྲོལ་མ་ཕྱག་འཚལ་ཉེར་གཅིག་གི་བསྟོད་པ་འདི་འཆད་པ་ལ་གསུམ།མདོར་བསྟན་པ་དང་། རྒྱས་པར་བ
4	prose	45	དང་པོ་ནི། ཨོཾ་སྟེ་ཕྱག་ཡུལ་སྐུ་གསུམ་གྱི་བདག་ཉིད་དེ་ནི་སྡོམ་གསུམ་དང་ལྡན་པས་ན་རྗེ་བ
5	prose	30	གཉིས་པ་རྒྱས་པར་བཤད་པ་ལ་གསུམ། ལོ་རྒྱུས་ཀྱི་སྒོ་ནས་བསྟོད་པ་དང་། སྐུའི་རྣམ་པའི་སྒོ་
6	prose	25	ཕྱག་འཚལ་ལོ་གང་ལ་ན་སྒྲོལ་མ་སྟེ་སངས་རྒྱས་གཞན་ལས་འཕྲིན་ལས་མྱུར་མ་དང་བདུད་སྡེ་འཇོམས་
7	prose	20	དེའི་ཡེ་ཤེས་ཀྱི་སྤྱན་ནི་སྐད་ཅིག་གི་ནམ་མཁའི་གློག་དང་འདྲ་བར་ཤེས་བྱ་ཀུན་གཟིགས་མ།
8	prose	25	འཇིག་རྟེན་གསུམ་མགོན་སྤྱན་རས་གཟིགས་ཀྱི་ཆུ་སྐྱེས་ཞལ་གྱི། །གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་བ
9	prose	107	གཉིས་པ་ལ་གཉིས། ལོངས་སྐུའི་རྣམ་པའི་སྒོ་ནས་བསྟོད་པ་དང་། ཆོས་སྐུའི་རྣམ་པའི་སྒོ་ནས་བ
10	prose	25	ཕྱག་འཚལ་ལོ་གང་ལ་ན་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། །གང་བ་བརྒྱ་ནི་བརྩེགས་པ་ལྟ་བུའི་ཟླུམ་ཞིང་
11	prose	27	ཞལ་ལས་སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་ལྟ་བུའི་འོད་ཟེར་རྣམས་ཀྱིས། །རབ་ཏུ་ཕྱེ་བའི་སྟེ་གསལ་བར
12	prose	27	གཉིས་པ་ནི། ཕྱག་འཚལ་ལོ་གང་ལ་ན་གསེར་ལྟར་མཛེས་ཤིང་ཅུང་ཟད་སྔོ་བ་ཆུ་ནས་སྐྱེས་ཀྱི། །པད
13	prose	38	རྒྱུ་སྦྱིན་པ་དང་བརྩོན་འགྲུས་དང་དཀའ་ཐུབ་སྟེ་ཚུལ་ཁྲིམས་དང་ཞི་བ་སྟེ་ཤེས་རབ་དང་། བཟོ
14	prose	15	གསུམ་པ་ནི། ཕྱག་འཚལ་ལོ་གང་ལ་ན་དེ་བཞིན་གཤེགས་པའི་གཙུག་གཏོར་ན། །
15	prose	14	མི་མཐུན་ཕྱོགས་མཐའ་ཡས་ལས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་ཅིང་བཞུགས་མ། །
16	prose	22	ས་བཅུ་མ་ལུས་པའི་ངོ་བོ་ཕ་རོལ་ཕྱིན་པ་བཅུ་ཐོབ་པའི། །རྒྱལ་བའི་སྲས་ཀྱིས་ཤིན་ཏུ་བསྟེན་
