index	kind	syllables	preview
1	prose	14	སྒྲོལ་མ་ཉེ་ཤུ་རྩ་གཅིག་གི་རྣམ་བཤད་ཞེས་བྱ་བ་བཞུགས་སོ།།
2	prose	169	གླེང་བརྗོད། ༄། །བོད་སྨར་ཁམས་གཙང་གཤིས་ཕ་ར་རིན་ཆེན་གླིང་གི་དགོན་ས་འདིར་རྗེ་བཙུན་སྒ
3	prose	14	སྒྲོལ་མ་ཉེ་ཤུ་རྩ་གཅིག་གི་རྣམ་བཤད་ཞེས་བྱ་བ་བཞུགས་སོ༎
4	prose	32	༄༅།། རབ་འབྱམས་རྒྱལ་བ་ཀུན་གྱི་འཕྲིན་ལས་ཀྱི།། གཅིག་བསྡུས་ཐུཌ་རྗེའི་གཏེར་ཆེན་རྗེ་བཙ
5	prose	716	སྒྲོལ་མའི་ལོ་རྒྱུས་མདོར་བསྡུས། སྔོན་གྱི་དུས་སུ་བཅོམ་ལྡན་འདས་དེ་བཞིན་གཤེགས་པ་རྔ་ས
6	prose	6	སྒྲོལ་མ་མདོར་བསྟན་པ་ནི།
7	prose	14	༄༅།།ཨོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ༎ ཞེས་པ་སྟེ།
8	prose	66	ༀ་ནི། མཚམས་སྦྱོར་བའི་ཡི་གེ་ཨ་ཨུ་མ་གསུམ་སྟེ་རྗེ་བཙུན་སྒྲོལ་མའི་སྐུའི་ཡོན་ཏན། གསུང
9	prose	47	འཕགས་མ་ནི། སྲིད་པ་འཁོར་བ་དང་ཞི་བ་མྱང་འདས་ལ་མི་གནས་པས་ནའོ།། སྒྲོལ་མ་ནི། སེམས་ཅན་འ
10	prose	7	༼༡༽ལོ་རྒྱུས་ཀྱི་སྒོ་ནས་བསྟོད་པ།
11	prose	31	ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ༎ སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ།། འཇིག་རྟེན་གསུམ་མག
12	prose	57	ཕྱག་འཚལ་བ་ནི། གང་ལ་ཕྱག་འཚལ་བའི་ཡུལ་རྗེ་བཙུན་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོར་གུས་པས་འདུད་པ
13	prose	31	མིང་འཇུག་ཚུལ་དང་པོ་ནི། འགྲོ་བ་སེམས་ཅན་རྣམས་འཁོར་བས་བསྡུས་པའི་ལས་ཉོན་དང་དེའི་འབྲས
14	prose	24	གཉིས་པ་ནི། འགྲོ་བ་ཀུན་ལ་བརྩེ་བ་ཆེན་པོའི་སྒོ་ནས་གྲོགས་འཕྲིན་ལས་ཀྱི་བྱ་བར་མྱུར་དུ་
15	prose	19	གསུམ་པ་ནི། འགྲོ་བ་ཀུན་གྱི་བདེ་དོན་བསྒྲུབ་པ་ལ་སྙིང་སྟོབས་ཞུམ་པ་མེད་པས་དཔའ་མོའོ།།
16	prose	10	སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ༎ ཞེས་པ་སྟེ།
17	prose	29	ཡེ་ཤེས་ཀྱི་སྤྱན་ནི་སྐད་ཅིག་གི་གློག་འཁྱུག་པ་དང་འདྲ་བར་དུས་གསུམ་ཤེས་བྱ་མཐའ་དག་སྐད་
18	prose	10	འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། ཞེས་པ་སྟེ།
19	prose	56	འཇིག་རྟེན་གསུམ་ནི། ས་འོག་ཀླུའི་འཇིག་རྟེན། ས་སྟེང་མིའི་འཇིག་རྟེན། ས་བླ་ལྷའི་འཇིག་
20	prose	66	འཁོར་བའི་གནས་སུ་སེམས་ཅན་ལྷག་ཡོད་པ་མ་ཟད་སྡུག་བསྔལ་སྣ་ཚོགས་པ་མྱོང་བཞིན་པ་གཟིགས་ནས་
21	prose	13	༼༢༽ཞལ་མདངས་གསལ་ཞིང་འོད་ཟེར་འཕྲོ་བའི་སྒོ་ནས་བསྟོད་པ་ནི།
22	prose	31	ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ༎ གང་བ་བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ།། སྐར་མ་སྟོང་ཕྲག་ཚོགས
23	prose	75	ཕྱག་འཚལ་བ་ནི། གང་ལ་ཕྱག་འཚལ་བའི་ཡུལ་རྗེ་བཙུན་སྒྲོལ་མ་དབྱངས་ཅན་མར་གུས་པས་འདུད་པའོ།
24	prose	81	, ཚེ་བཅོ་ལྔའི་ཟླ་བ་ཉ་མ་ལུས་པ་གང་བའི་གྲངས་བརྒྱ་ཐམ་པ་དེ་ཕྱོགས་གཅིག་ཏུ་བརྩེགས་པ་སྟེ
25	prose	14	༼༣༽སྐུ་མདོག་དང་ཕྱག་མཚན་བཅས་སྐུའི་སྒོ་ནས་བསྟོད་པར་མཛད་པ་ནི།
26	prose	30	ཕྱག་འཚལ་གསེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི།། པདྨས་ཕྱག་ན་རྣམ་པར་བརྒྱན་མ༎ སྦྱིན་པ་བརྩོན་འགྲུ
27	prose	67	ཕྱག་འཚལ་བ་ནི། གང་ལ་ཕྱག་འཚལ་བའི་ཡུལ་རྗེ་བཙུན་སྒྲོལ་མ་གསེར་མདོག་ཅན་ལ་གུས་པས་འདུད་པ
28	prose	79	སེར་སྣའི་གཉེན་པོ་སྦྱིན་པ་དང་། ལེ་ལོའི་གཉེན་པོ་བརྩོན་འགྲུས་དང་། ཚུལ་འཆལ་གྱི་གཉེན་
