index	kind	syllables	preview
1	prose	19	ཕྱག་འཚལ་ཉེར་གཅིག་གི་ཕན་ཡོན་དང་བཅས་པ་གསལ་བའི་མེ་ལོང་ཞེས་བྱ་བ་བཞུགས་སོ།། །།
2	prose	26	ཕྱག་འཚལ་ཉི་ཤུ་རྩ་གཅིག་གིས་བསྟོད་པ་ལ་མདོར་བསྟན། རྒྱས་བཤད། ཕན་ཡོན་བསྟན་པས་མཇུག་བསྡ
3	prose	12	ཨོཾ་རྗེ་བཙུན་མ་འཕགས་མ་སྒྲོལ་མ་ལ་ཕྱག་འཚལ་ལོ། །
4	prose	3	ཞེས་པ་སྟེ།
5	prose	86	ཨཾ་ནི་སྐུ་ལྔ་ཡེ་ཤེས་ལྔ་ཡི་ངོ་བོ་སེམས་ཅན་ཀྱི་སེམས་ཀྱི་དྲི་མ་སྦྱངས་བར་མཛད་པ། སྐྱབས
6	prose	35	གཉིས་པ་རྒྱས་པར་བཤད་པ་ལའང་། སྤྱིར་ལོ་རྒྱུས་ཀྱི་དབང་དུ་བྱས་ཏེ་ཕྱག་འཚལ་བ། སྐུའི་རྣམ
7	prose	8	ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ། །
8	prose	8	སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །
9	prose	8	འཇིག་རྟེན་གསུམ་མགོན་ཆུ་སྐྱེས་ཞལ་གྱི། །
10	prose	8	གེ་སར་བྱེ་བ་ལས་ནི་བྱུང་མ། །
11	prose	3	ཞེས་པ་སྟེ།
12	prose	104	སྒྲོལ་མ་ནི་དང་པོ་སྐུ་ཅི་ལས་བྱུང་། བར་དུ་སེམས་ཅན་གྱི་དོནཅི་ལྟ་བུ་མཛད་ཅེ་ན། དང་པོ་
13	prose	42	འཁྲུངས་ནས་གདུལ་བྱའི་དོན་ཅི་ལྟ་བུ་མཛད་སྙམ་ན། ཕྱག་འཚལ་སྒྲོལ་མ་མྱུར་མ་དཔའ་མོ་ཞེས་པས
14	prose	45	དེ་ལྟར་མྱུར་ཞིང་དཔའ་བའི་རྗེ་བཙུན་སྒྲོལ་མ་དེ་ཉིད་ཀྱིས་སེམས་ཅན་གྱི་དོན་དུ་ཉིན་མཚན་
15	prose	8	སྤྱན་ནི་སྐད་ཅིག་གློག་དང་འདྲ་མ། །
16	prose	21	ཞེས་པ་སྟེ། དེ་ལྟ་བུའི་ཡོན་ཏན་དང་ལྡན་པའི་རྗེ་བཙུན་མ་ལ་སྒོ་གསུམ་གུས་པས་ཕྱག་འཚལ་ལོ།
17	prose	89	གཉིས་པ་སྐུའི་རྣམ་པའི་སྒོ་ནས་ཕྱག་འཚལ་བ་ལ། ལོངས་སྐུའི་རྣམ་པ་དང་། ཆོས་སྐུའི་རྣམ་པའི
18	prose	15	ཕྱག་འཚལ་སྟོན་ཀའི་ཟླ་བ་ཀུན་ཏུ། གང་བ་བརྒྱ་ནི་བརྩེགས་པའི་ཞལ་མ། །
19	prose	8	སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས། །
20	prose	8	རབ་ཏུ་ཕྱེ་བའི་འོད་རབ་འབར་མ། །
21	prose	3	ཞེས་པ་སྟེ།
22	prose	107	སྤྱིར་ཟླ་བ་དེ་དངོས་པོ་གཞན་ལས་ཁྱད་པར་དུ་འཕགས་པ་བཀྲག་མདངས་དང་ལྡན་པ་ཞིག་ཡིན་ལ། དབྱར
23	prose	18	དེ་ལས་འོད་ཟེར་འཕྲོ་བར་བསྟན་པར་མཛད་པ་ནི།སྐར་མ་སྟོང་ཕྲག་ཚོགས་པ་རྣམས་ཀྱིས། །
24	prose	67	ཞེས་སྐར་མ་སྟོང་ཕྲག་ཙམ་གཅིག་ཏུ་འཚོགས་པ་ན་འོད་ཟེར་ཀྱང་མིག་གི་ལྟ་བས་མི་བཟོད་པར་འཕྲོ
25	prose	16	གཉིས་པ་སྐུ་མདོག་དང་ཕྱག་མཚན་དང་སྐུའི་སྒོ་ནས་བསྟོད་པར་མཛད་པ་ནི།
26	prose	8	ཕྱག་འཚལ་གསེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི། །
27	prose	7	པདྨས་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ། །
28	prose	8	སྦྱིན་པ་བརྩོན་འགྲུས་དཀའ་ཐུབ་ཞི་བ། །
29	prose	8	བཟོད་པ་བསམ་གཏན་སྤྱོད་ཡུལ་ཉིད་མ། །
30	prose	3	ཞེས་པ་སྟེ།
31	prose	56	སྐུ་མདོག་གི་དབང་དུ་ན། གསེར་སྔོ་ཆུ་ནས་སྐྱེས་ཀྱི། ཞེས་མདངས་ཤིན་ཏུགས་ལ་བའི་ཆ་ནས་གསེ
32	prose	55	པདྨས་ཕྱག་ནི་རྣམ་པར་བརྒྱན་མ། །ཞེས་དེ་ལ་ཆུ་ལས་སྐྱེས་པའི་མེ་ཏོག་ཨུཏྤལ་སྔོན་པོ་འདབ་མ
33	prose	85	སྐུའི་དབང་དུ་ན། རྗེ་བཙུན་མ་ནི་སྐུ་གང་ལས་བྱུང་སྙམ་ན། རྒྱུ་ཕ་རོལ་ཏུ་ཕྱིན་པ་དྲུག་ལས
34	prose	102	ཞི་བ་ཞེས་པས་དངོས་བསྟན་གྱི་དབང་དུ་བྱས་ན། ཕྱིན་དྲུག་ལ་སྐྱོན་གྱི་རྣམ་པས་མ་གོས་པ་སྟེ
35	prose	67	དེ་ལྟར་སྐུ་མདོག ཕྱག་མཚན། སྐུའི་སྒོ་ནས་བསྟོད་པའམ་ཕྱག་འཚལ་བར་མཛད་པ་དང་།གསུམ་པ་རྒྱལ
36	prose	74	ཕྱག་འཚལ་བ་ལ་ཡོན་ཏན་གང་དང་ལྡན་ན། རྒྱལ་བ་སངས་རྒྱས་དང་བྱང་ཆུབ་སེམས་དཔའ་ཆེན་པོ་རྣམས་
37	prose	8	ཕྱག་འཚལ་དེ་བཞིན་གཤེགས་པའི་གཙུག་ཏོར། །
38	prose	3	ཞེས་པ་སྟེ།
39	prose	54	དེ་བཞིན་གཤེགས་པ་རྣམས་ཀྱིས་རྗེ་བཙུན་མ་ལ་ཕྱག་འཚལ་བའི་རྒྱུ་མཚན་ཅི་ལྟ་བུ་ཡིན་ཞེ་ན། ར
40	prose	57	ཆོས་ཀྱི་དབྱིངས་ཤེར་ཕྱིན་གྱི་དོན་དེ་ཚུལ་བཞིན་རྟོགས་ཅིང་མངོན་དུ་གྱུར་ན་སངས་རྒྱས་ཀྱ
41	prose	8	མཐའ་ཡས་རྣམ་པར་རྒྱལ་བར་སྤྱོད་མ། །
42	prose	47	དེ་ཡང་མཐའ་ཡས་པའི་སེམས་ཅན་ཐམས་ཅད་ཀྱིས་ཤེར་ཕྱིན་ཇི་ལྟ་བ་བཞིན་མི་རྟོགས་པའི་འགལ་རྐྱེ
43	prose	14	གཉིས་པ་བྱང་སེམས་ཆེན་པོ་རྣམས་ཀྱིས་གུས་པས་བསྟེན་པའི་ཚུལ་ནི།
44	prose	8	མ་ལུས་ཕ་རོལ་ཕྱིན་པ་ཐོབ་པའི། །
45	prose	8	རྒྱལ་བའི་སྲས་ཀྱིས་ཤིན་ཏུ་བསྟེན་མ། །
46	prose	2	ཞེས་
47	prose	76	བྱང་སེམས་ལའང་སོ་སྐྱེ་དང་འཕགས་ས་ལ་བཞུགས་པའི་བྱང་སེམས་གཉིས་ལས། འཕགས་ས་ལ་བཞུགས་པའི་
