index	syllables	pieces	method	preview
15	49	1	STAGE2_MANUAL	ཕར་ཕྱིན་བཅུ་དང་ས་བཅུ་མ་ལུས་པའི་ཕ་རོལ་ཏུ་ཕྱིན་པའི་གོ་འཕང་ཐོབ་
26	48	1	STAGE2_MANUAL	གཅིག་མ་ལུས་པའི་ཕྱོགས་ཀྱི་འོད་ཟེར་ཐམས་ཅད་ཕྱག་གཡས་མཆོག་སྦྱིན་ཕ
27	49	1	STAGE2_MANUAL	བཅུ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། འགྲོ་བ་ཀུན་གྱི་རེ་བ་བསྐང་བའི་རབ་ཏ
30	44	1	STAGE2_MANUAL	ཞལ་ཁྲོ་གཉེར་གཡོ་བའི་ཐུགས་ཀར་ཡི་གེ་ཧཱུྃ་གིས་མཚན་པའི་འོད་ཀྱིས་
38	45	1	STAGE2_MANUAL	བཅོ་ལྔ་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཟག་མེད་ཀྱི་རང་བཞིན་བདེ་མ། ཉོན་
40	43	1	STAGE2_MANUAL	བཅུ་དྲུག་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། ཐུགས་ཀར་འཁོར་ལོའི་ལྟེ་བར་ཨོཾ
46	42	1	STAGE2_MANUAL	བཅོ་བརྒྱད་པ་ནི། ཕྱག་འཚལ། གང་ལ་ན། དྭངས་ཤིང་བསིལ་བ་སོགས་ཡོན་ཏན
55	69	1	STAGE2_MANUAL	གཉིས་པ་ཕན་ཡོན་ནི། ལྷ་མོ་སྒྲོལ་མ་ལ་གུས་པ་ཡང་དག་པ་དང་ལྡན་པའི་བ
57	46	1	STAGE2_MANUAL	རྒྱལ་བ་བྱེ་བ་ཕྲག་བདུན་རྣམས་ཀྱིས་ཀྱང་མྱུར་དུ་དབང་ནི་བསྐུར་བར་
58	166	1	STAGE2_MANUAL	དེ་འཐོབ་པ་ལ་བར་དུ་གཅོད་པའི་དུག་ནི་དྲག་པོ་ཆེན་པོ་སྟེ་བདག་ཏུ་ལ
